Jsc,Voc,FF,MPP
11.1590826753,0.8916650735617814,72.81718879418668,7.245429905133245
5.36992225253,0.8745307010782349,73.94605852466667,3.472626606460172
2.52967698253,0.8555407719922633,74.88609658974843,1.6207162036789717
1.34076029562,0.8387524590842335,75.39334232019024,0.8478478902221133
0.652171162535,0.8192211646146323,75.6017759680211,0.4039194374981133
0.30770944665600003,0.7984198309229281,75.2591542231657,0.18489768680699417
0.195635455365,0.785593408443438,74.45346350036573,0.11442747161245817
0.0911811110724,0.7632027005833794,71.44616268937847,0.04971914899513098
0.0470139154612,0.7422565390502444,65.89655730155357,0.022995517113582296
0.0212107290114,0.712198425274612,52.603357573244956,0.007946393546579267
