Voltage,SOP21n3-3_Fwd_Exp,SOP21n3-3_Rev_Exp,SOP21n3-3_Fwd_Fit,SOP21n3-3_Rev_Fit,SOP21n3-3_Fwd_Slope_Exp,SOP21n3-3_Rev_Slope_Exp,SOP21n3-3_Fwd_Slope_Fit,SOP21n3-3_Rev_Slope_Fit
0.05067723481057014,0.026754790511195805,0.026870707569686007,0.025267577,0.025175095,1.1044500141323426,1.1055588362055522,0.89364964,1.0254734
0.053218746614619034,0.028240542215940228,0.02836443538530328,0.02639704,0.026470626,1.1017090676040695,1.1027861566845303,0.943181,1.1132617
0.055887717666874046,0.029800805789961034,0.02993307507978721,0.027710993,0.028072985,1.0963832491713603,1.0973989469655123,1.0972222,1.1023186
0.05869054017056137,0.03143931807478117,0.03158038355552439,0.029389419,0.029486047,1.0913594579346153,1.0923177520510947,1.0682225,0.9488815
0.061633926904013835,0.03316000331810062,0.033310306127149865,0.030764882,0.030804867,1.0866182308822303,1.0875228005873367,1.2958835,1.233772
0.06472492729781917,0.034966982572395534,0.03512698597060186,0.033363417,0.033270262,1.0821415944592871,1.0829958394518684,1.3663851,1.3165127
0.06797094431825264,0.03686458356486594,0.03703477404605527,0.035166677,0.035040937,1.0779129271354506,1.0787199931407727,0.98544294,1.0321192
0.07137975219742994,0.038857351062370926,0.0390382395184999,0.036741365,0.036806524,1.0739168369975616,1.07467963858479,0.9330077,1.090099
0.07495951505264427,0.040950057756175114,0.04114218070092071,0.03852897,0.038986,1.0701390524768186,1.070860293446792,1.1840751,1.283742
0.07871880643948095,0.04314771569257563,0.04335163654628902,0.04125557,0.041733835,1.0665663245874697,1.067248516228652,1.2465667,1.2868407
0.08266662988553945,0.045455588276785974,0.04567189871588788,0.043528214,0.044218484,1.0631863392791203,1.0638318167489267,1.1037511,1.1375645
0.08681244045394122,0.04787920287882616,0.048108524252875776,0.04596167,0.04664861,1.059987638696171,1.060598575749637,1.1254131,1.0610701
