Jsc,Voc,FF,MPP
11.279126893,0.8389380882082517,73.40818446255848,6.946241491649194
5.43006107669,0.8205279559127703,75.46289988674235,3.362262269560194
2.55855424203,0.8010790273014678,76.88777788584207,1.5758950813959383
1.35622285056,0.7844063523323147,77.70295612986135,0.8266272176763383
0.659724053803,0.7652774239676012,78.04322675017355,0.394018340776049
0.31128052728600003,0.7450799022393743,77.58483569175812,0.17994162870731029
0.197908654029,0.7327642310876287,76.8884753352407,0.11150396117963031
0.092241045496,0.7113094221270334,74.03364221088545,0.048574897630529836
0.0475603372733,0.6914235222129205,68.8513736388865,0.022641316989599265
0.0214572884911,0.6634950922632133,56.52214739737585,0.008046948249934679
