trial_num,sclc_error,jvi_error,d_sclc,W_L,W_R_sclc,mu_e,E_d_sh,N_t_sh,N_t_d,W_R,E_v,G_frac,l1_k_dir,l1_C_n_bulk,l1_mu_p
0,0.0015424295905973483,0.16668103351643057,3.28e-07,4.362478392556494,4.200000043430672,-16.354444994345954,4.228569930482258,50.656872099270345,48.40830545410283,0.0,5.462262024503001,0.57,2e-17,1e-18,3e-07
249,0.005785435177149251,0.050444825891598495,3.2466300872574805e-07,4.408754799560823,4.43294945494321,-15.543737237520705,4.3405450647496435,51.92160066737277,47.13750964873863,0.19183253250855914,5.468936604792058,0.5282255481925329,1.0012362898446848e-18,7.546229783695509e-17,6.690676032737693e-07
264,0.0015424295905973483,0.16668103351643057,3.28e-07,4.362478392556494,4.200000043430672,-16.354444994345954,4.228569930482258,50.656872099270345,48.40830545410283,0.0,5.462262024503001,0.57,2e-17,1e-18,3e-07
333,0.010690092131932822,0.01680740222033919,3.318023860686569e-07,4.379017340041488,4.43294945494321,-15.245946339783787,4.318470229328691,51.92160066737277,48.40830545410283,0.19183253250855914,5.468936604792058,0.5218002027235429,2.0000000000000017e-17,8.681442506183188e-18,6.690676032737693e-07
370,0.0096118655862763,0.03941310337369992,3.2514050297916917e-07,4.206414179257943,4.272984229626048,-15.82986621243128,4.2532925735181255,53.6741958102092,49.043557213351974,0.14231859359146662,5.453576746965657,0.5301812794359945,6.133336401824595e-17,5.351209735926775e-15,2.4095785601250737e-08
377,0.001835920183860553,0.1079527824240822,3.28e-07,4.388114325381594,4.272984229626048,-16.354444994345954,4.230174928046367,51.76880910273452,48.14132427045731,0.0,5.392214340049664,0.5282255481925329,2.0000000000000017e-17,5.351209735926775e-15,3.0000000000000015e-07
