number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_E_v,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
11,,,2026-03-19 21:25:11.177582,2026-03-19 21:25:11.237385,0 days 00:00:00.059803,4.397297595823119,5.360063266230859,0.8182434005542673,48.551900307279475,54.43146547732047,4.484827723929687,0.09602061940811325,4.379353089171701,3.266144904545979e-07,2.8244183411949715e-16,5.5253808493582583e-17,3.4348323295810194e-08,-17.52748662114151,0,,PRUNED
12,,,2026-03-19 21:25:11.238383,2026-03-19 21:25:11.296191,0 days 00:00:00.057808,4.24385568658487,5.31000062817287,0.9189354216822332,50.12259238005933,53.68634680601971,4.393795205642647,0.19900810926705118,4.40801016898028,3.291894375405661e-07,2.3459213047577425e-17,1.2846361043522967e-18,4.762421484099063e-08,-16.353835330527545,0,,PRUNED
13,0.02559512432493857,0.4527179976713794,2026-03-19 21:25:11.297188,2026-03-19 21:25:12.241967,0 days 00:00:00.944779,4.253096159355281,5.368020826765707,0.5385335125252432,47.36535427304118,51.08827625904801,4.413068294915571,0.25896608688986655,4.453492543620505,3.2861313272919527e-07,3.679712345652704e-18,3.943949881125555e-18,9.111348599316829e-07,-14.514228277978644,0,,COMPLETE
14,,,2026-03-19 21:25:12.243961,2026-03-19 21:25:12.318792,0 days 00:00:00.074831,4.268509092377871,5.377193087036819,0.9049989115038086,50.387054719498856,54.597440318817156,4.248865220528901,0.07638246805060057,4.389855547385547,3.2870196517524964e-07,1.1061221299077951e-15,3.03727830415612e-16,5.450571104875329e-08,-18.02952271165557,0,,PRUNED
15,,,2026-03-19 21:25:12.319780,2026-03-19 21:25:12.392543,0 days 00:00:00.072763,4.453348662002946,5.416472695302654,0.7447599305395572,47.677155528098375,55.14333005104485,4.481885025522258,0.1210953233579952,4.3118419499783185,3.3066448562660717e-07,1.0330720280023813e-18,2.4704526622849232e-17,5.7947992253269384e-08,-17.44168843891589,0,,PRUNED
16,,,2026-03-19 21:25:12.393540,2026-03-19 21:25:12.464242,0 days 00:00:00.070702,4.4083249855511735,5.396309619286815,0.8272781664250963,50.241408626214145,51.2344718317386,4.486685339572894,0.11626798928213614,4.450738116629074,3.2644212651396036e-07,2.7082629380145517e-15,6.051506030421472e-16,4.5540043673048064e-07,-14.935475622809392,0,,PRUNED
17,0.08005328263618118,2.0415255152895653,2026-03-19 21:25:12.465239,2026-03-19 21:25:14.071320,0 days 00:00:01.606081,4.356749145553086,5.3409520488290125,0.6905197913415055,48.27089202982735,53.98308052824676,4.47230555089246,0.021417067203409957,4.205876063150894,3.2490941442890965e-07,1.5481291155414072e-15,1.7066194031494323e-18,1.749935960181957e-07,-16.271597808497233,0,,COMPLETE
18,0.07821459074189067,0.6173139297075045,2026-03-19 21:25:14.072315,2026-03-19 21:25:15.581370,0 days 00:00:01.509055,4.222627191011257,5.4022433031338375,0.7376210126161333,46.50817325708793,52.04829968542706,4.49583754294525,0.24993627763618972,4.410757632257307,3.244322380941813e-07,1.252653845050827e-16,9.983568932866616e-16,2.1332505928335746e-08,-17.423508302209754,0,,COMPLETE
19,,,2026-03-19 21:25:15.583369,2026-03-19 21:25:15.670077,0 days 00:00:00.086708,4.457994426358599,5.45917518779225,0.7099592452681263,48.20572143794633,54.90674542609065,4.399847923815326,0.07255558173428814,4.262837216410693,3.266371161717219e-07,3.485622811496685e-18,2.433614686401156e-18,3.187130073875171e-08,-16.525296019874553,0,,PRUNED
20,0.02969731762425708,0.43693744323337136,2026-03-19 21:25:15.672070,2026-03-19 21:25:16.994735,0 days 00:00:01.322665,4.330283724397975,5.328125456777162,0.7584149747036415,47.076411986987885,51.68677338216487,4.415749567617498,0.10278527078287543,4.411742424175377,3.3144245173971245e-07,3.861832671678686e-15,5.536125280437373e-15,4.894547161019662e-08,-14.689826029234604,0,,COMPLETE
21,,,2026-03-19 21:25:16.995734,2026-03-19 21:25:17.077787,0 days 00:00:00.082053,4.265729640833988,5.349878832473833,0.743649024916502,49.175078419491776,53.8198239801905,4.382021588120641,0.04541615002810501,4.339622899163945,3.304942954483488e-07,2.2468238366532787e-15,8.883602879300862e-17,1.0713198556811163e-08,-18.282330801038892,0,,PRUNED
22,,,2026-03-19 21:25:17.079781,2026-03-19 21:25:17.158520,0 days 00:00:00.078739,4.253708550530216,5.367342253643151,0.5922853380224244,49.59021003801451,53.01821933129527,4.456664065714322,0.08087526591650714,4.411573455030912,3.2864472226354354e-07,2.7761061424888388e-15,1.5567212572604135e-17,2.916106439917751e-07,-17.755682211699714,0,,PRUNED
23,,,2026-03-19 21:25:17.160516,2026-03-19 21:25:17.219583,0 days 00:00:00.059067,4.411075085938831,5.477280857255515,0.7646739049577258,49.28053792995818,51.4474365119999,4.355845430492431,0.12110232878684864,4.4252314323379975,3.30273543583832e-07,3.2849560171548764e-18,7.605434710020708e-15,1.5776060472260207e-08,-18.057778779434436,0,,PRUNED
24,0.023103104674998362,0.8941935502981566,2026-03-19 21:25:17.220580,2026-03-19 21:25:18.405796,0 days 00:00:01.185216,4.230875751312909,5.49302365825366,0.9642713662628499,46.48754988887566,51.78059087931497,4.2017556669548455,0.21040040803797613,4.20556920872072,3.3110872326999215e-07,4.447025474509745e-16,2.4701519981905784e-17,2.4079614181733414e-07,-17.833100279347686,0,,COMPLETE
25,,,2026-03-19 21:25:18.407789,2026-03-19 21:25:18.502476,0 days 00:00:00.094687,4.348603702753632,5.410210626439634,0.757959550474024,50.222941997236695,55.14525735609619,4.401478263207763,0.20297045302275382,4.365045102984007,3.2959232414854416e-07,9.579172218442602e-15,6.376567797104745e-15,4.636887026905824e-08,-17.735534566998574,0,,PRUNED
26,0.09034195242721763,0.2133914519255526,2026-03-19 21:25:18.504470,2026-03-19 21:25:19.884197,0 days 00:00:01.379727,4.462256187006467,5.485357501246611,0.6329998646012414,48.52387910081135,51.127518036635706,4.4442394183319065,0.01564992251192918,4.366958566500349,3.314923111810532e-07,3.448155191608635e-17,4.447334075863192e-16,3.612711586812678e-07,-15.723866886406288,0,,COMPLETE
27,,,2026-03-19 21:25:19.885196,2026-03-19 21:25:19.957958,0 days 00:00:00.072762,4.255245596251202,5.353594506911198,0.5573739559951177,50.286333750858155,52.07085913459808,4.2498286200309865,0.12911539662940316,4.358422082249223,3.275995498156592e-07,6.670804432284733e-17,5.3441704930075474e-17,9.627587823257995e-07,-14.354266528985852,0,,PRUNED
28,0.04499252954878558,0.549210869620698,2026-03-19 21:25:19.958960,2026-03-19 21:25:21.464143,0 days 00:00:01.505183,4.3003486525475525,5.337594232072268,0.8755651116678127,46.10248650276471,53.51152507089419,4.330532978510277,0.1845157052981802,4.4293323274528085,3.261111364897133e-07,3.9643727653890556e-17,5.27660590387254e-15,8.381689785251973e-07,-17.399584729877052,0,,COMPLETE
