# V, J(A/m2)
2.000000000000000389e-02,2.731106579303741455e-01
2.100301913217995919e-02,2.868478894233703613e-01
2.205634063333586706e-02,2.999041974544525146e-01
2.316248721539157160e-02,3.152313232421875000e-01
2.432410810668713882e-02,3.343963027000427246e-01
2.554398539689817921e-02,3.500314950942993164e-01
2.682504070015889405e-02,3.683849871158599854e-01
2.817034215234716366e-02,3.877766430377960205e-01
2.958311175929013298e-02,4.113999605178833008e-01
3.106673311348942534e-02,4.301963746547698975e-01
3.262475949784734985e-02,4.512858390808105469e-01
3.426092239580288273e-02,4.729074239730834961e-01
3.597914042825903214e-02,5.052176713943481445e-01
3.778352873870569062e-02,5.349195003509521484e-01
3.967840884901534249e-02,5.629921555519104004e-01
4.166831900951638995e-02,5.970066189765930176e-01
4.375802506813252640e-02,6.170005202293395996e-01
4.595253188461987520e-02,6.516787409782409668e-01
4.825709531723901269e-02,6.906613111495971680e-01
5.067723481057014034e-02,7.257837057113647461e-01
5.321874661461903355e-02,7.702282667160034180e-01
5.588771766687404552e-02,8.113676905632019043e-01
5.869054017056136996e-02,8.556586503982543945e-01
6.163392690401383461e-02,9.089885354042053223e-01
6.472492729781917364e-02,9.848908782005310059e-01
6.797094431825263794e-02,1.042997717857360840e+00
7.137975219742993815e-02,1.097114801406860352e+00
7.495951505264426828e-02,1.159168839454650879e+00
7.871880643948095391e-02,1.248728752136230469e+00
8.266662988553945268e-02,1.328010320663452148e+00
8.681244045394122255e-02,1.405247926712036133e+00
9.116616738826804900e-02,1.500593781471252441e+00
9.573823789316571187e-02,1.606292009353637695e+00
1.005396021075677521e-01,1.721085786819458008e+00
1.055817593303502860e-01,1.852070808410644531e+00
1.108767855612283332e-01,1.979669570922851562e+00
1.164373624228546150e-01,2.126607656478881836e+00
1.222768075333893617e-01,2.285868406295776367e+00
1.284091064022831463e-01,2.466936349868774414e+00
1.348489459256642375e-01,2.677302837371826172e+00
1.416117495615513144e-01,2.887399196624755859e+00
1.487137142691369318e-01,3.121058464050292969e+00
1.561718493006112873e-01,3.370404005050659180e+00
1.640040169384331947e-01,3.649241924285888672e+00
1.722289752756138992e-01,4.016256809234619141e+00
1.808664231414733592e-01,4.363565444946289062e+00
1.899370472804660370e-01,4.733796596527099609e+00
1.994625718970698680e-01,5.144862651824951172e+00
2.094658106853988788e-01,5.647013187408447266e+00
2.199707214681508594e-01,6.132955551147460938e+00
2.310024635757500500e-01,6.716426849365234375e+00
2.425874581031090826e-01,7.300283432006835938e+00
2.547534511883252084e-01,8.057498931884765625e+00
2.675295804648633036e-01,8.859514236450195312e+00
2.809464448463800945e-01,9.676525115966796875e+00
2.950361778113230748e-01,1.064227104187011719e+01
3.098325243628233250e-01,1.178582954406738281e+01
3.253709218481995458e-01,1.291968441009521484e+01
3.416885848316380536e-01,1.423775482177734375e+01
3.588245942233194152e-01,1.563648605346679688e+01
3.768199908784543584e-01,1.719931602478027344e+01
3.957178738904026383e-01,1.900572586059570312e+01
4.155635038132851067e-01,2.090067672729492188e+01
4.364044110613082839e-01,2.293494606018066406e+01
4.582905097444192055e-01,2.598260307312011719e+01
4.812742172129270690e-01,2.857366752624511719e+01
5.054105795974019877e-01,3.125873565673828125e+01
5.307574036445197319e-01,3.456900024414062500e+01
5.573753951646003291e-01,3.796995162963867188e+01
5.853283044224232290e-01,4.172124099731445312e+01
6.146830788195304374e-01,4.563568878173828125e+01
6.455100232336936639e-01,5.025223922729492188e+01
6.778829683995597488e-01,5.670751190185546875e+01
7.118794477337446747e-01,6.227163314819335938e+01
7.475808830278770634e-01,6.823382568359375000e+01
7.850727794543244098e-01,7.538462066650390625e+01
8.244449303516435679e-01,8.312133026123046875e+01
8.657916322802170495e-01,9.229219055175781250e+01
9.092119108631356861e-01,1.005123901367187500e+02
9.548097579532167645e-01,1.113434677124023438e+02
1.002694380694176379e+00,1.257923965454101562e+02
1.052980463072455963e+00,1.375501251220703125e+02
1.105788440586125132e+00,1.533835906982421875e+02
1.161244788688691187e+00,1.687167816162109375e+02
1.219482325698642011e+00,1.862626037597656250e+02
1.280640530900194252e+00,2.059451751708984375e+02
1.344865878597093944e+00,2.251019744873046875e+02
1.412312188919538469e+00,2.492393341064453125e+02
1.483140996224401098e+00,2.770819702148437500e+02
1.557521935971076799e+00,3.028529357910156250e+02
1.635633150999524554e+00,3.357024230957031250e+02
1.717661718183540076e+00,3.666002807617187500e+02
1.803804096481099517e+00,4.051081848144531250e+02
1.894266597454855594e+00,4.466708374023437500e+02
1.989265879389688019e+00,4.916126098632812500e+02
2.089029466190718942e+00,5.452055053710937500e+02
2.193796292304567519e+00,5.981895141601562500e+02
2.303817274968914308e+00,6.514026489257812500e+02
2.419355915160939841e+00,7.179040527343750000e+02
2.540688928683898506e+00,7.931088867187500000e+02
2.668106908903285834e+00,8.782482299804687500e+02
2.801915022719862147e+00,9.665836181640625000e+02
2.942433741446385032e+00,1.064985473632812500e+03
2.000000000000000389e-02,2.686076164245605469e-01
2.100301913217995919e-02,2.818451523780822754e-01
2.205634063333586706e-02,2.983067929744720459e-01
2.316248721539157160e-02,3.107098639011383057e-01
2.432410810668713882e-02,3.276674449443817139e-01
2.554398539689817921e-02,3.440783321857452393e-01
2.682504070015889405e-02,3.607684671878814697e-01
2.817034215234716366e-02,3.830451667308807373e-01
2.958311175929013298e-02,4.072349369525909424e-01
3.106673311348942534e-02,4.275917410850524902e-01
3.262475949784734985e-02,4.458819329738616943e-01
3.426092239580288273e-02,4.693758487701416016e-01
3.597914042825903214e-02,4.948395192623138428e-01
3.778352873870569062e-02,5.238143801689147949e-01
3.967840884901534249e-02,5.477990508079528809e-01
4.166831900951638995e-02,5.799844264984130859e-01
4.375802506813252640e-02,6.205068826675415039e-01
