# V, J(A/m2)
2.000000000000000389e-02,6.585586071014404297e-01
2.100301913217995919e-02,6.931344270706176758e-01
2.205634063333586706e-02,7.245443463325500488e-01
2.316248721539157160e-02,7.650306820869445801e-01
2.432410810668713882e-02,8.017176985740661621e-01
2.554398539689817921e-02,8.434700369834899902e-01
2.682504070015889405e-02,8.877219557762145996e-01
2.817034215234716366e-02,9.304487705230712891e-01
2.958311175929013298e-02,9.741818308830261230e-01
3.106673311348942534e-02,1.027095913887023926e+00
3.262475949784734985e-02,1.076409935951232910e+00
3.426092239580288273e-02,1.134521842002868652e+00
3.597914042825903214e-02,1.190629720687866211e+00
3.778352873870569062e-02,1.254510641098022461e+00
3.967840884901534249e-02,1.314327359199523926e+00
4.166831900951638995e-02,1.382944464683532715e+00
4.375802506813252640e-02,1.457657933235168457e+00
4.595253188461987520e-02,1.534024238586425781e+00
4.825709531723901269e-02,1.607699036598205566e+00
5.067723481057014034e-02,1.696013092994689941e+00
5.321874661461903355e-02,1.780310750007629395e+00
5.588771766687404552e-02,1.874875068664550781e+00
5.869054017056136996e-02,1.971838951110839844e+00
6.163392690401383461e-02,2.068914413452148438e+00
6.472492729781917364e-02,2.190099716186523438e+00
6.797094431825263794e-02,2.309141874313354492e+00
7.137975219742993815e-02,2.428527832031250000e+00
7.495951505264426828e-02,2.570306301116943359e+00
7.871880643948095391e-02,2.698167324066162109e+00
8.266662988553945268e-02,2.844836235046386719e+00
8.681244045394122255e-02,3.004665374755859375e+00
9.116616738826804900e-02,3.168152570724487305e+00
9.573823789316571187e-02,3.344730138778686523e+00
1.005396021075677521e-01,3.541867733001708984e+00
1.055817593303502860e-01,3.730170488357543945e+00
1.108767855612283332e-01,3.961252212524414062e+00
1.164373624228546150e-01,4.165991306304931641e+00
1.222768075333893617e-01,4.416231155395507812e+00
1.284091064022831463e-01,4.689080715179443359e+00
1.348489459256642375e-01,4.974488258361816406e+00
1.416117495615513144e-01,5.256432056427001953e+00
1.487137142691369318e-01,5.603987216949462891e+00
1.561718493006112873e-01,5.907677173614501953e+00
1.640040169384331947e-01,6.298989295959472656e+00
1.722289752756138992e-01,6.653718948364257812e+00
1.808664231414733592e-01,7.076446533203125000e+00
1.899370472804660370e-01,7.543549060821533203e+00
1.994625718970698680e-01,8.062386512756347656e+00
2.094658106853988788e-01,8.672211647033691406e+00
2.199707214681508594e-01,9.265955924987792969e+00
2.310024635757500500e-01,9.906961441040039062e+00
2.425874581031090826e-01,1.056479072570800781e+01
2.547534511883252084e-01,1.128216934204101562e+01
2.675295804648633036e-01,1.207324123382568359e+01
2.809464448463800945e-01,1.292030048370361328e+01
2.950361778113230748e-01,1.384721660614013672e+01
3.098325243628233250e-01,1.477527332305908203e+01
3.253709218481995458e-01,1.587161159515380859e+01
3.416885848316380536e-01,1.699569511413574219e+01
3.588245942233194152e-01,1.830243301391601562e+01
3.768199908784543584e-01,1.960634040832519531e+01
3.957178738904026383e-01,2.112805938720703125e+01
4.155635038132851067e-01,2.263422012329101562e+01
4.364044110613082839e-01,2.436239624023437500e+01
4.582905097444192055e-01,2.656763076782226562e+01
4.812742172129270690e-01,2.859547805786132812e+01
5.054105795974019877e-01,3.079008483886718750e+01
5.307574036445197319e-01,3.317943572998046875e+01
5.573753951646003291e-01,3.592009353637695312e+01
5.853283044224232290e-01,3.865552902221679688e+01
6.146830788195304374e-01,4.163761138916015625e+01
6.455100232336936639e-01,4.496383666992187500e+01
6.778829683995597488e-01,4.867948913574218750e+01
7.118794477337446747e-01,5.274702835083007812e+01
7.475808830278770634e-01,5.665810012817382812e+01
7.850727794543244098e-01,6.135614776611328125e+01
8.244449303516435679e-01,6.621047973632812500e+01
8.657916322802170495e-01,7.165288543701171875e+01
9.092119108631356861e-01,7.752535247802734375e+01
9.548097579532167645e-01,8.371064758300781250e+01
1.002694380694176379e+00,9.116025543212890625e+01
1.052980463072455963e+00,9.877230834960937500e+01
1.105788440586125132e+00,1.075444335937500000e+02
1.161244788688691187e+00,1.162930221557617188e+02
1.219482325698642011e+00,1.254265594482421875e+02
1.280640530900194252e+00,1.359675750732421875e+02
1.344865878597093944e+00,1.476229400634765625e+02
1.412312188919538469e+00,1.595420684814453125e+02
1.483140996224401098e+00,1.724482116699218750e+02
1.557521935971076799e+00,1.872079010009765625e+02
1.635633150999524554e+00,2.029453582763671875e+02
1.717661718183540076e+00,2.198011016845703125e+02
1.803804096481099517e+00,2.383807830810546875e+02
1.894266597454855594e+00,2.580521545410156250e+02
1.989265879389688019e+00,2.795845031738281250e+02
2.089029466190718942e+00,3.030626831054687500e+02
2.193796292304567519e+00,3.282162170410156250e+02
2.303817274968914308e+00,3.536545104980468750e+02
2.419355915160939841e+00,3.816113281250000000e+02
2.540688928683898506e+00,4.118614807128906250e+02
2.668106908903285834e+00,4.461760864257812500e+02
2.801915022719862147e+00,4.798406982421875000e+02
2.942433741446385032e+00,5.159863891601562500e+02
2.000000000000000389e-02,6.566057801246643066e-01
2.100301913217995919e-02,6.918875575065612793e-01
2.205634063333586706e-02,7.268947362899780273e-01
2.316248721539157160e-02,7.660264372825622559e-01
2.432410810668713882e-02,8.016992807388305664e-01
2.554398539689817921e-02,8.433349728584289551e-01
2.682504070015889405e-02,8.846911787986755371e-01
2.817034215234716366e-02,9.290761947631835938e-01
2.958311175929013298e-02,9.764140844345092773e-01
3.106673311348942534e-02,1.024704694747924805e+00
3.262475949784734985e-02,1.078306555747985840e+00
3.426092239580288273e-02,1.134346485137939453e+00
3.597914042825903214e-02,1.189769387245178223e+00
3.778352873870569062e-02,1.249517321586608887e+00
3.967840884901534249e-02,1.318460106849670410e+00
4.166831900951638995e-02,1.384718179702758789e+00
