number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
16,0.0434831920888325,0.6425759190581684,2026-03-19 21:58:05.980916,2026-03-19 21:58:07.101519,0 days 00:00:01.120603,4.25551970128346,0.533322317691534,46.54166571067512,51.23955164248872,4.494996599106202,5.138143587396907,4.255726296146417,3.295191244304759e-07,3.3148226685853334e-17,5.1977076188480984e-15,7.17172630239128e-08,-16.596528009968498,0.0,,COMPLETE
17,,,2026-03-19 21:58:07.102516,2026-03-19 21:58:07.177266,0 days 00:00:00.074750,4.435363279604033,0.7202027770285351,50.02115561124631,54.28636455032037,4.209793948941063,5.375026111877987,4.25215204810314,3.250869766126567e-07,1.3850736715555286e-18,4.559495614786836e-16,1.962384118232664e-07,-16.147492096345463,0.0,,PRUNED
18,,,2026-03-19 21:58:07.178263,2026-03-19 21:58:07.253014,0 days 00:00:00.074751,4.4374668095340875,0.8346183011426267,49.77696165264454,52.25803958810563,4.482870610195693,5.1937695809363476,4.289041758330413,3.280402171319195e-07,1.0093259023385246e-15,7.006025269738715e-16,1.586708725571143e-08,-16.934181569152493,0.0,,PRUNED
19,,,2026-03-19 21:58:07.254011,2026-03-19 21:58:07.326768,0 days 00:00:00.072757,4.430498582747408,0.8666065284609191,50.156604735384434,54.33488021901353,4.4151545133855565,5.380111842066242,4.3401520182155755,3.294922331776982e-07,1.9097560603705166e-16,6.188650576235036e-16,3.205193885508366e-07,-18.382666458241815,0.0,,PRUNED
20,0.09464943239556638,0.2689492652338263,2026-03-19 21:58:07.327765,2026-03-19 21:58:08.871205,0 days 00:00:01.543440,4.364972570739066,0.6490784939637962,48.73183058218759,53.5714783003385,4.275995069859632,5.200846742183512,4.320462691852295,3.2941238745411534e-07,5.0050817635309626e-18,4.056085556921004e-15,1.5393400426747667e-07,-17.026683014097895,0.0,,COMPLETE
21,,,2026-03-19 21:58:08.872202,2026-03-19 21:58:08.921039,0 days 00:00:00.048837,4.301576103400065,0.9197456173311538,50.50286520881792,54.74670987430825,4.330084529612493,5.3195799123041665,4.3408713645038075,3.3016916502544486e-07,1.8975482675016202e-17,1.3473585002002677e-15,2.331218231912539e-08,-16.08094238290442,0.0,,PRUNED
22,0.09765669594604164,0.5154697003153699,2026-03-19 21:58:08.922035,2026-03-19 21:58:09.698443,0 days 00:00:00.776408,4.3923107379135065,0.7973268019269665,49.580639888569664,51.05692151260453,4.332878464653169,5.392678141530372,4.46295739511196,3.269101499969847e-07,8.620263573343872e-18,9.612769768601863e-16,8.882009089211527e-07,-14.482360499113506,0.0,,COMPLETE
23,,,2026-03-19 21:58:09.699440,2026-03-19 21:58:09.747280,0 days 00:00:00.047840,4.228642505701326,0.8189323829932036,50.09362167862806,50.801115926408656,4.246524778810647,5.372977135260604,4.31127108459951,3.2636385840020844e-07,5.967676488881057e-17,3.493102628748928e-17,1.5387436220133447e-07,-17.659397408227395,0.0,,PRUNED
24,,,2026-03-19 21:58:09.747280,2026-03-19 21:58:09.796116,0 days 00:00:00.048836,4.228514624843644,0.9899076181061865,50.6251153212733,52.2220163189081,4.239063571706808,5.118561844375911,4.487063052861197,3.2810314548588823e-07,6.1746134735619776e-18,2.838789561911787e-15,2.7062166085341803e-08,-16.601854734728192,0.0,,PRUNED
25,,,2026-03-19 21:58:09.797113,2026-03-19 21:58:09.844954,0 days 00:00:00.047841,4.386465145477696,0.8825099570092049,50.60144656856132,51.482439196986235,4.425406468605482,5.373242701472263,4.240983066992849,3.3199373482223054e-07,6.727544710523426e-16,7.73272242161686e-18,4.191508363939495e-08,-18.067108504038945,0.0,,PRUNED
26,,,2026-03-19 21:58:09.845954,2026-03-19 21:58:09.894787,0 days 00:00:00.048833,4.422006116204324,0.6713352124703297,47.66053070011661,54.69528818083624,4.377622530008533,5.145548415569704,4.401953756462579,3.303168203807157e-07,6.878466508975614e-17,5.886258528175305e-17,2.3408841362207382e-08,-15.102424893265896,0.0,,PRUNED
27,0.09776722622294733,0.43338475818356664,2026-03-19 21:58:09.895785,2026-03-19 21:58:11.213290,0 days 00:00:01.317505,4.375591823080903,0.9064182466225768,47.22977681846208,54.107040920334185,4.441099639140527,5.171410553552048,4.343382943884917,3.2688118583449483e-07,4.141119813187131e-18,2.4107599491401224e-17,2.410622989652858e-07,-16.67750601178126,0.0,,COMPLETE
28,,,2026-03-19 21:58:11.214287,2026-03-19 21:58:11.287044,0 days 00:00:00.072757,4.377355416998434,0.5767166282920875,48.59043510075528,54.141168876884414,4.3530280647373125,5.172121363434122,4.205428592885128,3.282002583456323e-07,7.880555837788263e-16,2.3687240160774014e-16,1.3355435271279107e-08,-17.88889007992772,0.0,,PRUNED
29,0.06651665150395013,0.41088409961326816,2026-03-19 21:58:11.288046,2026-03-19 21:58:12.221450,0 days 00:00:00.933404,4.249687238409752,0.7151900936535014,46.28773550658676,52.43796901725934,4.240187036094532,5.393031132274848,4.2293435854396035,3.260913637037005e-07,2.1714643854752516e-16,4.747686458235397e-16,3.3371277882351456e-07,-14.781167319469272,0.0,,COMPLETE
30,,,2026-03-19 21:58:12.222447,2026-03-19 21:58:12.275271,0 days 00:00:00.052824,4.432222896486233,0.6205278430320308,49.875971914687725,52.44024040849026,4.388689092654454,5.269677076894969,4.285152624700564,3.3154749124461674e-07,3.0401069804705052e-15,5.184671725179108e-17,8.787417926623419e-07,-16.321600225784575,0.0,,PRUNED
31,0.08679778082423703,0.7765583296200848,2026-03-19 21:58:12.276268,2026-03-19 21:58:13.221113,0 days 00:00:00.944845,4.333521324332207,0.6366932135297316,46.68209488438953,53.98786674437491,4.461544941604692,5.360185024832813,4.438991138081972,3.2673749620557526e-07,1.366979182638007e-16,3.1937892468075796e-17,6.950422986210952e-07,-17.294182307704325,0.0,,COMPLETE
32,0.04487078402373103,0.06446711872133287,2026-03-19 21:58:13.223106,2026-03-19 21:58:14.395244,0 days 00:00:01.172138,4.388496390029628,0.5563642098912058,48.83099979064587,52.457459706219055,4.223468682040272,5.361448614471984,4.245609396636808,3.26962871781654e-07,3.0279496943866266e-15,1.0624006859013228e-15,2.403037373593281e-07,-15.66483954087473,0.0,,COMPLETE
33,,,2026-03-19 21:58:14.396240,2026-03-19 21:58:14.468997,0 days 00:00:00.072757,4.4249322086274265,0.9770747046151652,46.75208117549178,54.5360044375557,4.4643245981699975,5.386036227153688,4.270205118030281,3.242901905878946e-07,1.9015787431738788e-15,1.826760117852906e-17,8.436786061886173e-08,-16.682459457002842,0.0,,PRUNED
34,,,2026-03-19 21:58:14.469993,2026-03-19 21:58:14.551720,0 days 00:00:00.081727,4.407670891764798,0.9188828888802009,48.01949544289249,50.86438987631269,4.488890296996233,5.20214984157971,4.359718977739716,3.270100529829346e-07,3.2574272233464533e-18,1.994614235722058e-15,1.7349833581938344e-07,-17.69322598231751,0.0,,PRUNED
35,,,2026-03-19 21:58:14.552716,2026-03-19 21:58:14.633447,0 days 00:00:00.080731,4.465949798124403,0.6279996675867507,50.03966976768688,52.604735228379354,4.459915351015942,5.28152194169814,4.270806898571587,3.278374219601715e-07,5.140180956434281e-16,6.765660102762446e-16,5.550167303309476e-07,-17.251874151945966,0.0,,PRUNED
36,,,2026-03-19 21:58:14.634444,2026-03-19 21:58:14.712184,0 days 00:00:00.077740,4.389034554739141,0.925520060204523,49.21789155730151,54.00376706640907,4.441580471416188,5.191143953522729,4.237568253891421,3.2938212036586055e-07,3.771383675617903e-17,5.231461222611479e-16,1.779589115296765e-07,-17.720358114303927,0.0,,PRUNED
37,0.02252592337052378,0.7345706300555891,2026-03-19 21:58:14.713180,2026-03-19 21:58:15.976961,0 days 00:00:01.263781,4.3053630132254925,0.9123169097299852,46.228233476237655,51.22081686532901,4.40644795021493,5.122250346712485,4.488128102236819,3.2922844118133657e-07,4.058329458452912e-18,3.924285303330015e-18,3.245094358547053e-08,-15.618273543691751,0.0,,COMPLETE
