Jsc,Voc,FF,MPP
10.9776303712,0.7801762678979681,61.04215307728538,5.227947077648334
5.29600186941,0.7616766948346717,64.13592099264832,2.5871412048280193
2.49791723457,0.7405075856392662,66.56218560403103,1.231218492928019
1.32452292815,0.7214887115366141,68.16033822903171,0.6513595093233343
0.644464133593,0.6992958946942308,69.49539788561613,0.3131956900144143
0.304118131502,0.6759188276384137,70.11796994880417,0.14413391768457468
0.193349991673,0.6616812516513627,69.87387199671991,0.08939388194425468
0.0901200329352,0.6374515457819495,68.25332056214617,0.03920959037852605
0.0464677912974,0.6154665808933063,64.51374737806918,0.018450527011182126
0.0209645724095,0.5855655102558006,55.026905295959615,0.006755174726399198
