Voltage,SOP21n3-4_Fwd_Exp,SOP21n3-4_Rev_Exp,SOP21n3-4_Fwd_Fit,SOP21n3-4_Rev_Fit,SOP21n3-4_Fwd_Slope_Exp,SOP21n3-4_Rev_Slope_Exp,SOP21n3-4_Fwd_Slope_Fit,SOP21n3-4_Rev_Slope_Fit
0.05067723481057014,0.14063807394982802,0.13941243316547433,0.09740271,0.097154446,1.0834984232318183,1.0664802448899224,1.0359,1.0519785
0.053218746614619034,0.1482958946932074,0.1468811484889148,0.102467395,0.10228667,1.0813467162354264,1.0647926348247516,0.9780371,1.0664783
0.055887717666874046,0.15633776247240747,0.15472442703046607,0.10718672,0.10784294,1.077161890153274,1.0615079094627156,1.0065203,0.9697153
0.05869054017056137,0.16478293761365753,0.16296105349382697,0.11307493,0.11246964,1.0732069387732253,1.0583988480602393,1.0068711,0.9694327
0.061633926904013835,0.17365164636697178,0.1716107546535564,0.118286856,0.118575774,1.0694677853761902,1.0554551592345796,1.208982,1.1526198
0.06472492729781917,0.18296512934815132,0.18069424660082822,0.12727766,0.12589999,1.0659313590059973,1.0526672423617711,1.2029697,1.0671799
0.06797094431825264,0.19274569241019868,0.19023328435860581,0.13306594,0.13162997,1.0625855085432718,1.0500261327367681,0.9288858,0.92648864
0.07137975219742994,0.20301676006598235,0.20025071398506536,0.13939047,0.13784932,1.0594189254829232,1.0475234518901466,0.9179427,0.9881129
0.07495951505264427,0.21380293159009922,0.21077052729005516,0.1455736,0.144995,1.0564210743975408,1.0451513624997961,1.0875252,1.1863942
0.07871880643948095,0.2251300399342994,0.22181791929563827,0.15504462,0.15482122,1.0535821302028836,1.0429025274051291,1.1338421,1.17359
0.08266662988553945,0.23702521359757492,0.23341934857833588,0.16265778,0.16264273,1.0508929214560148,1.0407700722907265,1.0708463,1.0533135
0.08681244045394122,0.24951694159909385,0.2456026006375925,0.1721755,0.17163268,1.0483448790150849,1.0387475516582718,1.119888,1.1014014
0.09116616738826805,0.26263514170958835,0.25839685444222943,0.18149889,0.18115406,1.0459299894734855,1.0368289177502437,1.2839649,1.1371747
0.09573823789316571,0.2764112321046125,0.2718327523142671,0.19522898,0.19183764,1.0516758145187062,1.0430114892824491,1.2055422,1.1588672
0.10053960210756775,0.2911070356781144,0.2861665215085715,0.20422725,0.20291021,1.1201879351036421,1.1117161629462053,1.0229398,1.188811
0.10558175933035029,0.308437770419078,0.3030774126180618,0.21578577,0.2155075,1.176693515922178,1.168488546641047,1.2078918,1.1733854
0.11087678556122833,0.3266376580860377,0.3208364010938037,0.22985463,0.22760242,1.1668459326505758,1.1591601762456492,1.2801169,1.1605128
0.11643736242285462,0.34575028752967163,0.3394860198300121,0.24458635,0.24142833,1.1576207882355174,1.1504148341585196,1.2125473,1.209451
0.12227680753338936,0.36582143362321723,0.35907093478623453,0.25881577,0.2562021,1.1489709141031668,1.142209043118033,1.0942502,1.2057761
0.12840910640228315,0.38689916689359305,0.37963805196261746,0.27223355,0.27166763,1.1408535512379103,1.1345033143495744,1.1599952,1.2620592
0.13484894592566424,0.4090339686506275,0.4012366297400853,0.28993094,0.28988424,1.1332298481430723,1.127261702096952,1.0861634,0.83706325
0.14161174956155131,0.4322788518901278,0.42391839685448696,0.30276614,0.2948601,1.1260644261264723,1.120451416794749,1.1184373,0.7686763
0.14871371426913693,0.4566894882603535,0.44773767628725836,0.32346854,0.31253308,1.1796737530256314,1.1838922716435363,1.3156832,1.1643314
0.1561718493006113,0.48518147558036856,0.47599433871114827,0.34437245,0.33044875,1.2422382932896072,1.2575691943215768,1.314213,1.297081
0.1640040169384332,0.5157276864721909,0.5063778363202949,0.36786678,0.354835,1.240426650067227,1.2566167915257642,1.3291318,1.2898334
0.1722289752756139,0.5478058190610182,0.5382850953996673,0.3922122,0.37490955,1.2263428675281087,1.2413997803967947,1.3975773,1.1610987
0.18086642314147336,0.5814927006854055,0.5717925340446414,0.4217863,0.39753664,1.213226104392664,1.2272485352342555,1.3561144,1.2509321
0.18993704728046604,0.61686901164843,0.6069804027911783,0.447879,0.42373607,1.2009942220724348,1.2140701134606138,1.3790628,1.448619
0.19946257189706987,0.6540194784475475,0.6439329768163857,0.4827335,0.45808753,1.2629261900715836,1.284213654243303,1.0867268,1.396545
0.20946581068539888,0.698026149844499,0.688268984143825,0.4981388,0.48579544,1.3245012925179314,1.3537754571918286,1.0998045,1.2976176
0.21997072146815086,0.7445375002291774,0.7351582136915501,0.5375922,0.5201178,1.30837201089382,1.3358633995031846,1.4992522,1.3411164
0.23100246357575005,0.7933814393288238,0.7843989829557527,0.5768644,0.5539308,1.2893781191883338,1.3147681304678658,1.5378599,1.4295204
0.24258745810310908,0.8446749486988689,0.8361092239027179,0.62490976,0.5982205,1.3023417083030506,1.3292443228986266,1.3669016,1.4380566
0.2547534511883252,0.9012308942458694,0.893376472565802,0.65943474,0.63764346,1.361076477760067,1.3944694567381442,1.2410214,1.3650501
0.2675295804648633,0.9650283679503129,0.958369089360076,0.70561045,0.68372375,1.384694001326201,1.4204887976808638,1.4770341,1.4415253
0.2809464448463801,1.032025345990272,1.0266211480591052,0.7619928,0.7342564,1.359704360375605,1.3925135092610705,1.4992132,1.520241
0.2950361778113231,1.1023822865688466,1.098296112792424,0.81712174,0.79340726,1.3897897040034837,1.427197475782972,1.4387001,1.0930024
0.3098325243628233,1.1823913420910592,1.180513733428412,0.877204,0.8171544,1.443529611767218,1.488544161473436,1.7194386,1.1965678
0.32537092184819955,1.2696594108122154,1.2705382103777465,0.96687174,0.8919786,1.439739048050102,1.4842617064302315,1.8602644,1.70833
0.34168858483163805,1.3613040566611565,1.3650775009643141,1.0523696,0.9658598,1.4510713226534984,1.4840108093386823,1.7679846,1.6434699
0.3588245942233194,1.463399137344179,1.4691405014249446,1.1495142,1.0476292,1.4989982253250727,1.5143582947721752,1.5013576,1.6180167
0.37681999087845436,1.5764048297194297,1.583152616230492,1.2189368,1.1315804,1.50168600976404,1.5086149686679358,1.535267,1.6423208
0.39571787389040264,1.6950778656695613,1.7028825476585527,1.3358833,1.2303026,1.513942133003833,1.540514756250654,1.8352025,1.8135322
0.4155635038132851,1.8281656419819772,1.8407719905255981,1.4587593,1.3513467,1.5377298081733448,1.5873873943363357,1.8201395,1.8461945
0.4364044110613083,1.970373225379349,1.9890887382563949,1.5963596,1.4739461,1.551488628509305,1.5917190509970176,1.4553032,1.6428473
0.4582905097444192,2.1279390515349443,2.151065187684833,1.6820507,1.5870606,1.6141538873494046,1.624617754711024,1.4489303,1.5478383
0.48127421721292707,2.3075739631819348,2.331879163524958,1.8395656,1.7150235,1.6475477198852104,1.6417240856518802,1.7992089,1.6156777
0.505410579597402,2.5002628671841363,2.5259952725341557,2.005911,1.8589401,1.6700931638894474,1.6674776636099988,1.9403673,1.850638
0.5307574036445197,2.7173174379511353,2.7452355845971304,2.2242706,2.0555527,1.6965681516216833,1.694736780366192,2.0035105,1.9152459
