W_R,E_v,G_frac,l1_k_dir,l1_C_n_bulk,l1_mu_p,error
0.23896289605806992,5.336686957973233,0.8898455001363847,2.4400607090817495e-16,6.071989493441303e-17,1.584710121043908e-08,0.2651416704198249
0.13777466758976017,5.366741722227804,0.5714334089609704,4.0137830238462587e-16,1.6813042706040734e-18,2.7796975515266827e-07,0.08062363824620453
0.2815658127047251,5.300155753168203,0.9961057796456089,2.950706670790534e-16,2.796485951606244e-16,1.0330768043240409e-08,1.1188978983183056
0.006918727512424728,5.404954932051678,0.6999304858576278,1.5369603110608849e-18,7.852755494724256e-15,2.9210748185657166e-08,0.0503618994843201
0.027181930359846243,5.423677201866617,0.6912309956335814,8.568869785189036e-15,7.362945281639199e-17,5.246634533625294e-07,0.08098870011472972
0.20409226157633395,5.390099850393908,0.5066324805799333,5.872283616443743e-15,1.7912362571043672e-16,5.899741796710488e-08,0.15205918444383473
0.004789875666064259,5.34617876512443,0.6205127330130059,5.408216580718497e-16,2.754143921332031e-16,4.6386309723972815e-07,0.2196796727271311
0.05200939605233163,5.378212121514648,0.5911180438940312,1.0506199451597036e-15,5.019072833961325e-17,2.6054534945803988e-08,0.06298190997080753
0.17031009834599747,5.306262658491112,0.9211423872974993,6.295301484516117e-17,3.8071583792493983e-17,7.133747470888444e-07,0.8601707717893068
0.2181815987569263,5.365308153761167,0.7852219872026998,1.2115379992469594e-16,6.993395623207735e-15,4.887285358835577e-07,0.14798498093990944
0.0,5.5,1.0,1e-18,1e-14,1e-08,0.17996705983586556
0.12371492828825703,5.461038795682854,0.5,1e-18,1e-18,1e-08,0.03539011611594547
0.0,5.447766993215792,1.0,1e-18,1e-14,1e-08,0.17804598444456254
0.0,5.411113678473699,0.5,1e-18,1e-18,1.2899300703879593e-08,0.033752173409127284
0.27469051807125006,5.492486741925386,0.8264030624706551,3.2462123464044792e-15,1.6799368682413561e-18,1.95821272911539e-08,0.06296867398019815
0.0,5.410551042184612,1.0,1e-18,1e-18,1e-06,0.1649900412430887
0.0,5.3,0.5980898045282496,1e-18,6.295014147068563e-18,1e-06,1.355142565292325
0.3,5.482205210658356,0.5,1e-14,1e-18,1e-08,0.11172302153220719
0.0,5.432767111545319,0.5,1e-18,1e-18,1e-08,0.033380594217551525
0.0,5.433173097877643,0.5,1e-14,1e-18,1e-08,0.1110119238262011
0.0,5.3,0.5798025591979977,1e-18,1.0529972522708221e-18,1.1796356222904439e-08,0.027462843832200934
0.10039458305489472,5.425641253209441,0.518974372016468,1.5464026052180739e-15,5.688808004628438e-17,6.813659231899086e-08,0.050413864300034444
0.0,5.462681516338989,0.5238395621038305,1e-14,9.587519340461883e-17,3.8311744201394236e-07,0.06318891703569202
0.06108855593950473,5.4163386613149065,0.5,3.800100214996703e-15,5.405840421339384e-17,3.968510175462665e-08,0.08924772200963565
0.007984105800520207,5.304494012579729,0.660834302118526,1.8177804007225753e-17,4.314906453151971e-17,1.9386819952756293e-08,0.060831293332710264
0.18873872494419508,5.44559218045698,0.5461234786340663,7.206039398393194e-15,1.5439326104141163e-16,2.1408010273283667e-07,0.05320809007026173
0.17687229699829685,5.4494241922924855,0.5158819823586313,4.867539515786099e-15,7.501728080204464e-17,1.2559292451017985e-07,0.055218411578982926
0.0,5.331427275300267,0.5,2.393250115470854e-16,3.687053359038817e-17,3.0008032425790324e-08,0.12146742339485869
0.19238833862840524,5.419071689356609,0.5596022914771084,8.160707480258303e-18,5.794213889294381e-17,1.4643823675713778e-07,0.018952230466305783
0.2153824163238688,5.439841498542088,0.6768590229171682,5.546619175142143e-18,6.263317815613199e-17,1.4415896528992407e-07,0.030032109933562527
0.08573415526319493,5.429997344115232,0.5,1e-14,5.640210880695611e-17,1.2304501073749786e-07,0.10338378459430717
0.19763634055687038,5.423312411305631,0.5831409141542143,4.705107887184999e-18,6.026661026959714e-17,1.0161409453107025e-07,0.012851550367833378
0.1210938229499549,5.420418099524625,0.6078713132703918,1.858689766256538e-17,6.188910800117654e-17,3.2801080785937985e-08,0.012045283016048541
0.14158592119046756,5.414731854781941,0.5,8.94154344907057e-18,5.741207865038719e-17,8.20502215391055e-08,0.037857641850952625
0.17404617393242472,5.41655780495893,0.540028292691679,1e-18,6.113553197973772e-17,1e-08,0.022659729473793955
0.22465472704112185,5.420240603166133,0.594281377553629,1e-18,6.263580582520037e-17,6.216408018350187e-08,0.017674554876095747
0.009927610924786072,5.437061941498965,0.5580712362259804,3.255382441080064e-17,6.958987466758375e-17,1e-08,0.013552612236350044
0.2617796823219388,5.381817699993075,0.6090263991880873,4.544558974427098e-15,1.3350169428996715e-16,2.452297044765372e-07,0.1974158628604774
0.007555734934397041,5.3,0.5956440231393355,1e-18,9.355456565484442e-15,1.0562903841151497e-07,0.15313129140760046
0.0,5.368421344966772,0.6892594750668772,1e-18,1.2755960521135656e-18,2.9188034357494243e-08,0.04184455126207766
0.0,5.5,0.5,1e-14,1.5145999776898103e-16,1e-06,0.056086054710828386
0.0,5.378614210083277,0.5395115652804418,1e-18,1.2592514861941061e-18,1.879134775289292e-08,0.018938343634248497
0.14682742306315566,5.3,0.6259600392777876,1e-18,4.854121925165209e-15,1e-08,0.08006994980012974
0.0,5.3,0.7772463462131403,1e-14,1.2409060544818403e-18,9.464195562304265e-07,3.2355829573405623
0.0,5.309405135236635,0.5198160550500057,8.450225902457552e-18,2.792518816878408e-17,3.194091138178268e-08,0.06740328569793749
0.0,5.316335643303988,0.6672079045535475,9.599028297742307e-18,2.675643421606534e-17,1e-08,0.036263984327924326
0.12674885928434315,5.37549259887625,0.5547865926889806,1e-18,1.440542023028786e-18,1.6109469211761528e-07,0.030996532905799457
0.21951095064854842,5.5,0.8249126850906433,5.308323330377275e-16,1.76979715910976e-18,1.0237779395458371e-08,0.08159783591456252
0.259960365410232,5.446880328930195,0.6150311532292311,1e-18,6.80219244060843e-17,3.1299110324622085e-08,0.019813176178732243
0.0,5.34623203388113,0.5,1.0589741066637101e-16,1e-14,3.433763705059322e-08,0.06742331801405566
0.017060165776836264,5.5,1.0,1e-18,1e-18,3.0584694105200196e-08,0.17947976440968375
0.0,5.3,1.0,1e-14,1e-14,1e-06,3.3531332177849236
0.3,5.426741339865036,0.6203219900062361,2.1339745703973807e-17,7.945233415251187e-16,2.0116918388655302e-08,0.08202096770296351
0.0,5.418263867400414,0.5,1e-18,1e-18,7.896268609172296e-08,0.03356141858055152
0.0,5.304179644925334,0.5,1e-18,1e-18,2.7856650198266544e-08,0.07083835811650414
0.0,5.441367183716809,0.5,1.770739318442186e-15,1e-18,6.844245744497978e-07,0.05804764212159506
0.0,5.3,1.0,1e-18,1e-14,2.8026674838998666e-08,0.16839152531490129
0.18362116550925248,5.384790669613935,0.5,1e-18,3.2219609389044116e-16,9.272424846998646e-08,0.05142672962083142
0.2142141326157881,5.437742553837789,0.5,2.7728999542418036e-18,1e-18,8.37669190403933e-08,0.04108994413337687
0.0,5.419048116466302,0.6257257600055584,1.8945155537991118e-17,1.802384728283021e-17,3.689380183510287e-08,0.019336534337441303
0.0,5.419796333702999,0.956404473865953,7.76419701091477e-18,1e-18,1.5314623479486577e-07,0.1552530049572898
0.0,5.315397193811089,0.7069882659951005,4.722551908590004e-18,1e-18,3.973633520398017e-08,0.067693861467794
0.3,5.5,0.5,1e-18,1e-14,1e-06,0.04572173975462839
0.3,5.44538340478934,0.5,1e-18,1e-14,3.7983775598444996e-07,0.08190106871374173
0.0,5.320449576716619,0.5,9.610820701057216e-18,1e-18,1.746209833234967e-08,0.05321781542217081
0.0,5.400131132491999,0.6704831972198614,1e-18,1e-18,1.410939969801505e-07,0.03348078129756252
0.0,5.5,1.0,1.4003176029725562e-15,1e-14,1e-06,0.15720633136377463
0.0,5.431008431211285,0.5635482436159455,1.3534162602873057e-17,2.8988967317340867e-16,9.149105972109928e-08,0.011260348039563191
0.0,5.450718155640021,0.5198907118409012,1.3528122828906453e-16,1e-18,1e-08,0.029491612419975766
0.0,5.431213317578889,0.7117730864235798,2.395530838258714e-15,1e-14,2.3120123967623002e-07,0.04272637682923148
0.0,5.5,0.5,5.689996598281513e-17,1e-14,1e-06,0.033366466452642435
0.0,5.5,0.5,7.895361465558618e-16,1e-18,1.2337330638140922e-07,0.03971370019479394
0.0,5.439965430028504,0.5,1.2595745526279103e-17,3.9914805908435824e-16,5.649122187546354e-08,0.0335423427012485
0.0,5.406217483537056,0.5543551935954153,1.1594403073328497e-16,1e-18,1e-08,0.017846236560114605
0.0,5.5,0.7510323608600893,1e-18,1e-18,1e-06,0.07462915000880495
0.0,5.5,0.5,1e-18,1e-14,7.228073969828913e-08,0.0325113370564901
0.0,5.5,0.5,8.649884757676267e-18,1e-14,4.5381505592884736e-07,0.032512107591490924
0.0,5.43842812450467,0.6348430039627652,1e-18,1e-14,7.07720596005784e-08,0.024834660073138278
0.0,5.5,0.5,8.79415006847829e-18,1e-18,1e-08,0.03273879406921736
0.0,5.427088188261684,0.5795418470523142,1.3274635924324977e-17,1e-18,1.1260798563060389e-07,0.009332050849342138
0.0,5.5,0.8344286186638343,1e-14,1e-18,1.272184807684237e-07,0.06088165595295647
0.0,5.459690715830372,1.0,1e-14,1e-18,1e-08,0.087750850817443
0.0,5.361089128646,0.5925324401831307,8.820395655788994e-17,1e-18,1e-08,0.02086755801771393
0.0,5.422645202918089,0.6509635798419987,4.745993685000062e-16,1e-18,1e-08,0.021200679025246204
0.0,5.404982837123567,0.5677193236195435,1.0678800391859824e-17,1e-18,1e-08,0.011311130438107726
0.016554371525932525,5.375519323888503,0.5551820306174964,1e-18,1e-14,1e-08,0.013942203754299035
0.09779845800904992,5.427113612696435,0.611767815036096,8.710856517269528e-18,2.2926263855842172e-17,1.293688828257026e-07,0.012243325757473732
0.3,5.5,0.5040113697462734,4.2249967368038345e-17,1e-18,3.9866584253996785e-07,0.04378218352095869
0.0,5.455021997080554,0.6066392048454071,2.2825440796874306e-17,1e-18,1e-06,0.010331756809496535
0.0,5.443208815008275,0.5775389033233498,2.4524893595420816e-17,1e-18,3.828049833227446e-07,0.00858231936841719
0.0,5.385592353040924,0.5800747813848718,1e-18,1e-18,1e-08,0.01020664014584166
0.0,5.437484281759089,0.6117657015789093,1.3699663146940943e-17,1e-14,6.110603975820912e-07,0.012137912332678668
0.0,5.459678615237091,0.5770152888071785,3.228259850419015e-17,1e-14,6.808064222150192e-07,0.008614330293053555
0.0,5.467393042948942,0.6006067366586978,1.268681448277519e-17,1e-14,1e-06,0.009860547285131666
0.0,5.5,0.5025027835059295,1e-18,1e-18,1e-08,0.03162987250152039
0.0,5.46293972038324,0.6858407702275922,1.735034522634819e-15,1e-18,1e-08,0.026083681315647922
0.3,5.462273454921911,0.6237875596549161,2.0431330805105755e-17,1e-14,1e-06,0.03637008988871125
0.0,5.4628440880070706,0.6579473114146843,1.9858888441155897e-15,1e-18,1.1448101289165948e-07,0.019326737946223804
0.0,5.459017021732892,0.5536255768971919,1.5566525603074202e-17,1e-18,5.569244109264363e-07,0.012506895597542284
0.0,5.352373191646838,0.6921810697805186,1.709310557686806e-16,1e-18,9.368055679918057e-08,0.07041067695982159
