trial_num,sclc_error,jvi_error,d_sclc,W_L,W_R_sclc,mu_e,E_d_sh,N_t_sh,N_t_d,W_R,G_frac,l1_k_dir,l1_C_n_bulk,l1_mu_p
0,0.0015424295905973483,0.08124647260533213,3.28e-07,4.362478392556494,4.200000043430672,-16.354444994345954,4.228569930482258,50.656872099270345,48.40830545410283,5.4,0.57,2e-17,1e-18,3e-07
150,0.006971871588584245,0.043445549812182335,3.289122870580562e-07,4.314615875193821,4.226117031834875,-17.18939997569026,4.252097129381915,50.6920797894347,46.07275666381979,5.366819518739907,0.5857937075602293,9.0627418889124e-18,6.249028820873069e-17,6.916264629920575e-07
219,0.005898120973960447,0.05209955212762616,3.2733808119714225e-07,4.373040768283214,4.341760142567488,-16.024514145084375,4.276512851494388,54.921362434568536,46.50365759415751,5.276095013441419,0.6035011282403479,5.304490571904726e-18,1.3254088122164339e-18,8.277486706575153e-08
310,0.006407126438359944,0.0491110048108223,3.289122870580562e-07,4.314615875193821,4.370202168968188,-16.760639571275796,4.270099541681746,50.98587626304332,46.07275666381979,5.25640063469232,0.6159268654361643,5.4201428678595805e-17,3.74873329408547e-15,1.6971293038590243e-07
318,0.0012865124427539605,0.09877928319580802,3.282607338796363e-07,4.290761856021797,4.313419866405814,-16.46892169415427,4.277989256373244,50.98587626304332,48.34967324008023,5.248898809059617,0.6393559609940792,9.630280100270314e-18,1.0153967343026915e-18,8.277486706575153e-08
325,0.003367948197922031,0.07642787469619733,3.293812583404224e-07,4.372080688707519,4.365917802467591,-16.46892169415427,4.2223091267656825,52.138354140485276,47.813886358507766,5.284334248431006,0.6393559609940792,5.4201428678595805e-17,2.583324994610853e-18,8.277486706575153e-08
338,0.004098692479249654,0.06703855412264521,3.314497570927705e-07,4.227492892997664,4.341760142567488,-16.801583041776833,4.276512851494388,50.6920797894347,47.813886358507766,5.282669780692522,0.6035011282403479,3.3520702619870493e-16,1.3311175178538623e-17,8.669372485242265e-07
348,0.015036659953961619,0.0404066782345745,3.2854739681754084e-07,4.314615875193821,4.39608344042689,-16.760639571275796,4.26640450197824,51.565617498993454,47.99729150930466,5.348891130485398,0.5857937075602293,9.0627418889124e-18,6.249028820873069e-17,1.4623530527685918e-07
370,0.0014155284939213028,0.09398607724606106,3.2854739681754084e-07,4.300608104296039,4.313419866405814,-16.46892169415427,4.277989256373244,50.906341178338785,48.34967324008023,5.248898809059617,0.6393559609940792,9.630280100270314e-18,1.7387146514032993e-17,1.4623530527685918e-07
372,0.006232296299976529,0.05208348844220345,3.2733808119714225e-07,4.373040768283214,4.341760142567488,-16.024514145084375,4.276512851494388,54.921362434568536,46.13264715672382,5.276095013441419,0.6035011282403479,5.304490571904726e-18,1.3254088122164339e-18,8.277486706575153e-08
390,0.004854048680612077,0.06226248985344795,3.301766610911614e-07,4.2023844071005305,4.233501402408437,-15.96102338571314,4.400281413371315,50.97184633253652,46.50365759415751,5.228880545673922,0.5509233866545483,6.45250797193748e-17,2.534506782622252e-15,6.916264629920575e-07
