# V, J(A/m2)
2.000000000000000389e-02,4.380691945552825928e-01
2.100301913217995919e-02,4.606942832469940186e-01
2.205634063333586706e-02,4.832041859626770020e-01
2.316248721539157160e-02,5.083901882171630859e-01
2.432410810668713882e-02,5.354176163673400879e-01
2.554398539689817921e-02,5.614768862724304199e-01
2.682504070015889405e-02,5.880637168884277344e-01
2.817034215234716366e-02,6.169640421867370605e-01
2.958311175929013298e-02,6.538413763046264648e-01
3.106673311348942534e-02,6.866302490234375000e-01
3.262475949784734985e-02,7.206494808197021484e-01
3.426092239580288273e-02,7.572160363197326660e-01
3.597914042825903214e-02,7.987399101257324219e-01
3.778352873870569062e-02,8.409881591796875000e-01
3.967840884901534249e-02,8.782837390899658203e-01
4.166831900951638995e-02,9.214751720428466797e-01
4.375802506813252640e-02,9.822531938552856445e-01
4.595253188461987520e-02,1.035633444786071777e+00
4.825709531723901269e-02,1.093060612678527832e+00
5.067723481057014034e-02,1.148420691490173340e+00
5.321874661461903355e-02,1.209358692169189453e+00
5.588771766687404552e-02,1.270558118820190430e+00
5.869054017056136996e-02,1.337038040161132812e+00
6.163392690401383461e-02,1.412853717803955078e+00
6.472492729781917364e-02,1.499529361724853516e+00
6.797094431825263794e-02,1.585163474082946777e+00
7.137975219742993815e-02,1.665199518203735352e+00
7.495951505264426828e-02,1.756079077720642090e+00
7.871880643948095391e-02,1.870231747627258301e+00
8.266662988553945268e-02,1.975693702697753906e+00
8.681244045394122255e-02,2.080989122390747070e+00
9.116616738826804900e-02,2.198788881301879883e+00
9.573823789316571187e-02,2.349163293838500977e+00
1.005396021075677521e-01,2.484620809555053711e+00
1.055817593303502860e-01,2.643684864044189453e+00
1.108767855612283332e-01,2.800544261932373047e+00
1.164373624228546150e-01,2.977515459060668945e+00
1.222768075333893617e-01,3.156818389892578125e+00
1.284091064022831463e-01,3.352471113204956055e+00
1.348489459256642375e-01,3.567890644073486328e+00
1.416117495615513144e-01,3.786802291870117188e+00
1.487137142691369318e-01,4.059137344360351562e+00
1.561718493006112873e-01,4.321390628814697266e+00
1.640040169384331947e-01,4.641723155975341797e+00
1.722289752756138992e-01,4.956266403198242188e+00
1.808664231414733592e-01,5.293598175048828125e+00
1.899370472804660370e-01,5.686908245086669922e+00
1.994625718970698680e-01,6.068364620208740234e+00
2.094658106853988788e-01,6.470986843109130859e+00
2.199707214681508594e-01,6.943030834197998047e+00
2.310024635757500500e-01,7.496617794036865234e+00
2.425874581031090826e-01,8.056453704833984375e+00
2.547534511883252084e-01,8.682075500488281250e+00
2.675295804648633036e-01,9.385896682739257812e+00
2.809464448463800945e-01,1.008137702941894531e+01
2.950361778113230748e-01,1.088687515258789062e+01
3.098325243628233250e-01,1.157825851440429688e+01
3.253709218481995458e-01,1.247279644012451172e+01
3.416885848316380536e-01,1.350337409973144531e+01
3.588245942233194152e-01,1.462108421325683594e+01
3.768199908784543584e-01,1.594078445434570312e+01
3.957178738904026383e-01,1.729273414611816406e+01
4.155635038132851067e-01,1.865882301330566406e+01
4.364044110613082839e-01,2.014988708496093750e+01
4.582905097444192055e-01,2.189261245727539062e+01
4.812742172129270690e-01,2.384270477294921875e+01
5.054105795974019877e-01,2.576034927368164062e+01
5.307574036445197319e-01,2.801715850830078125e+01
5.573753951646003291e-01,3.079419708251953125e+01
5.853283044224232290e-01,3.351322174072265625e+01
6.146830788195304374e-01,3.644249725341796875e+01
6.455100232336936639e-01,3.970384216308593750e+01
6.778829683995597488e-01,4.299171066284179688e+01
7.118794477337446747e-01,4.692402267456054688e+01
7.475808830278770634e-01,5.079264450073242188e+01
7.850727794543244098e-01,5.532683181762695312e+01
8.244449303516435679e-01,6.108792495727539062e+01
8.657916322802170495e-01,6.677433013916015625e+01
9.092119108631356861e-01,7.252268218994140625e+01
9.548097579532167645e-01,7.888510894775390625e+01
1.002694380694176379e+00,8.528440093994140625e+01
1.052980463072455963e+00,9.349594116210937500e+01
1.105788440586125132e+00,1.014681701660156250e+02
1.161244788688691187e+00,1.115309448242187500e+02
1.219482325698642011e+00,1.225589218139648438e+02
1.280640530900194252e+00,1.341535339355468750e+02
1.344865878597093944e+00,1.472200164794921875e+02
1.412312188919538469e+00,1.608448944091796875e+02
1.483140996224401098e+00,1.742834014892578125e+02
1.557521935971076799e+00,1.909679565429687500e+02
1.635633150999524554e+00,2.081618499755859375e+02
1.717661718183540076e+00,2.287602386474609375e+02
1.803804096481099517e+00,2.488512268066406250e+02
1.894266597454855594e+00,2.723614501953125000e+02
1.989265879389688019e+00,2.985149841308593750e+02
2.089029466190718942e+00,3.262016296386718750e+02
2.193796292304567519e+00,3.596646118164062500e+02
2.303817274968914308e+00,3.950029602050781250e+02
