# V, J(A/m2)
2.000000000000000389e-02,2.835457623004913330e-01
2.100301913217995919e-02,2.990082800388336182e-01
2.205634063333586706e-02,3.124576807022094727e-01
2.316248721539157160e-02,3.292185664176940918e-01
2.432410810668713882e-02,3.465009331703186035e-01
2.554398539689817921e-02,3.649037778377532959e-01
2.682504070015889405e-02,3.832972943782806396e-01
2.817034215234716366e-02,4.029613733291625977e-01
2.958311175929013298e-02,4.240683615207672119e-01
3.106673311348942534e-02,4.451027512550354004e-01
3.262475949784734985e-02,4.683581590652465820e-01
3.426092239580288273e-02,4.918960332870483398e-01
3.597914042825903214e-02,5.183609127998352051e-01
3.778352873870569062e-02,5.458465814590454102e-01
3.967840884901534249e-02,5.723282694816589355e-01
4.166831900951638995e-02,6.023526191711425781e-01
4.375802506813252640e-02,6.350146532058715820e-01
4.595253188461987520e-02,6.707832217216491699e-01
4.825709531723901269e-02,7.056158185005187988e-01
5.067723481057014034e-02,7.421495914459228516e-01
5.321874661461903355e-02,7.843776941299438477e-01
5.588771766687404552e-02,8.266527056694030762e-01
5.869054017056136996e-02,8.730344176292419434e-01
6.163392690401383461e-02,9.230706095695495605e-01
6.472492729781917364e-02,9.730489850044250488e-01
6.797094431825263794e-02,1.030651807785034180e+00
7.137975219742993815e-02,1.091081738471984863e+00
7.495951505264426828e-02,1.152326226234436035e+00
7.871880643948095391e-02,1.221953630447387695e+00
8.266662988553945268e-02,1.293745756149291992e+00
8.681244045394122255e-02,1.369162797927856445e+00
9.116616738826804900e-02,1.451916933059692383e+00
9.573823789316571187e-02,1.524166584014892578e+00
1.005396021075677521e-01,1.619109630584716797e+00
1.055817593303502860e-01,1.722708106040954590e+00
1.108767855612283332e-01,1.831988573074340820e+00
1.164373624228546150e-01,1.952032089233398438e+00
1.222768075333893617e-01,2.073726654052734375e+00
1.284091064022831463e-01,2.219024419784545898e+00
1.348489459256642375e-01,2.361449956893920898e+00
1.416117495615513144e-01,2.484905004501342773e+00
1.487137142691369318e-01,2.660417795181274414e+00
1.561718493006112873e-01,2.835350990295410156e+00
1.640040169384331947e-01,3.037799835205078125e+00
1.722289752756138992e-01,3.277723073959350586e+00
1.808664231414733592e-01,3.509294271469116211e+00
1.899370472804660370e-01,3.783409118652343750e+00
1.994625718970698680e-01,4.041900634765625000e+00
2.094658106853988788e-01,4.257153511047363281e+00
2.199707214681508594e-01,4.588363170623779297e+00
2.310024635757500500e-01,4.952127456665039062e+00
2.425874581031090826e-01,5.353933811187744141e+00
2.547534511883252084e-01,5.789546012878417969e+00
2.675295804648633036e-01,6.263180732727050781e+00
2.809464448463800945e-01,6.754182338714599609e+00
2.950361778113230748e-01,7.292990207672119141e+00
3.098325243628233250e-01,7.787774085998535156e+00
3.253709218481995458e-01,8.419114112854003906e+00
3.416885848316380536e-01,9.119759559631347656e+00
3.588245942233194152e-01,9.879053115844726562e+00
3.768199908784543584e-01,1.081778240203857422e+01
3.957178738904026383e-01,1.172651958465576172e+01
4.155635038132851067e-01,1.270425319671630859e+01
4.364044110613082839e-01,1.373382282257080078e+01
4.582905097444192055e-01,1.474039649963378906e+01
4.812742172129270690e-01,1.606375503540039062e+01
5.054105795974019877e-01,1.742447471618652344e+01
5.307574036445197319e-01,1.896553039550781250e+01
5.573753951646003291e-01,2.088007926940917969e+01
5.853283044224232290e-01,2.267907714843750000e+01
6.146830788195304374e-01,2.480412673950195312e+01
6.455100232336936639e-01,2.702758026123046875e+01
6.778829683995597488e-01,2.937780761718750000e+01
7.118794477337446747e-01,3.202480697631835938e+01
7.475808830278770634e-01,3.492162704467773438e+01
7.850727794543244098e-01,3.808658218383789062e+01
8.244449303516435679e-01,4.203275299072265625e+01
8.657916322802170495e-01,4.597677612304687500e+01
9.092119108631356861e-01,5.030593872070312500e+01
9.548097579532167645e-01,5.468830108642578125e+01
1.002694380694176379e+00,5.942125701904296875e+01
1.052980463072455963e+00,6.521345520019531250e+01
1.105788440586125132e+00,7.096385955810546875e+01
1.161244788688691187e+00,7.791581726074218750e+01
1.219482325698642011e+00,8.549694824218750000e+01
1.280640530900194252e+00,9.348684692382812500e+01
1.344865878597093944e+00,1.026865768432617188e+02
1.412312188919538469e+00,1.118739624023437500e+02
1.483140996224401098e+00,1.232274246215820312e+02
1.557521935971076799e+00,1.348847656250000000e+02
1.635633150999524554e+00,1.478088989257812500e+02
1.717661718183540076e+00,1.621116790771484375e+02
1.803804096481099517e+00,1.768696594238281250e+02
1.894266597454855594e+00,1.934229431152343750e+02
1.989265879389688019e+00,2.126127319335937500e+02
2.089029466190718942e+00,2.324420013427734375e+02
2.193796292304567519e+00,2.556808624267578125e+02
2.303817274968914308e+00,2.814255065917968750e+02
2.419355915160939841e+00,3.060858154296875000e+02
2.540688928683898506e+00,3.359919738769531250e+02
2.668106908903285834e+00,3.680659790039062500e+02
2.801915022719862147e+00,4.049297485351562500e+02
2.942433741446385032e+00,4.434840087890625000e+02
2.000000000000000389e-02,2.827745378017425537e-01
2.100301913217995919e-02,2.980244159698486328e-01
2.205634063333586706e-02,3.109208941459655762e-01
2.316248721539157160e-02,3.274209797382354736e-01
2.432410810668713882e-02,3.440431952476501465e-01
2.554398539689817921e-02,3.614541292190551758e-01
2.682504070015889405e-02,3.796516358852386475e-01
2.817034215234716366e-02,3.995160162448883057e-01
2.958311175929013298e-02,4.166879355907440186e-01
3.106673311348942534e-02,4.370135068893432617e-01
3.262475949784734985e-02,4.585779905319213867e-01
3.426092239580288273e-02,4.830687642097473145e-01
3.597914042825903214e-02,5.076344013214111328e-01
3.778352873870569062e-02,5.336304306983947754e-01
3.967840884901534249e-02,5.600116252899169922e-01
4.166831900951638995e-02,5.888987779617309570e-01
4.375802506813252640e-02,6.268603801727294922e-01
4.595253188461987520e-02,6.602867841720581055e-01
4.825709531723901269e-02,6.937931180000305176e-01
5.067723481057014034e-02,7.325288057327270508e-01
5.321874661461903355e-02,7.640317082405090332e-01
5.588771766687404552e-02,8.050305247306823730e-01
5.869054017056136996e-02,8.455963730812072754e-01
6.163392690401383461e-02,8.890419602394104004e-01
6.472492729781917364e-02,9.399651288986206055e-01
6.797094431825263794e-02,9.913402199745178223e-01
7.137975219742993815e-02,1.040527939796447754e+00
7.495951505264426828e-02,1.099221944808959961e+00
7.871880643948095391e-02,1.158063888549804688e+00
8.266662988553945268e-02,1.222904801368713379e+00
8.681244045394122255e-02,1.285969018936157227e+00
9.116616738826804900e-02,1.357536554336547852e+00
9.573823789316571187e-02,1.474834799766540527e+00
1.005396021075677521e-01,1.563838720321655273e+00
1.055817593303502860e-01,1.643970251083374023e+00
1.108767855612283332e-01,1.744987726211547852e+00
1.164373624228546150e-01,1.840119957923889160e+00
1.222768075333893617e-01,1.953536987304687500e+00
1.284091064022831463e-01,2.065007686614990234e+00
1.348489459256642375e-01,2.200449943542480469e+00
1.416117495615513144e-01,2.347300052642822266e+00
1.487137142691369318e-01,2.494764089584350586e+00
1.561718493006112873e-01,2.652938604354858398e+00
1.640040169384331947e-01,2.828749895095825195e+00
1.722289752756138992e-01,3.005576848983764648e+00
1.808664231414733592e-01,3.215791702270507812e+00
1.899370472804660370e-01,3.427949428558349609e+00
1.994625718970698680e-01,3.663174867630004883e+00
2.094658106853988788e-01,3.877542972564697266e+00
2.199707214681508594e-01,4.175879955291748047e+00
2.310024635757500500e-01,4.455183506011962891e+00
2.425874581031090826e-01,4.782048225402832031e+00
2.547534511883252084e-01,5.099734783172607422e+00
2.675295804648633036e-01,5.455877304077148438e+00
2.809464448463800945e-01,5.851995468139648438e+00
2.950361778113230748e-01,6.282682895660400391e+00
3.098325243628233250e-01,6.796738624572753906e+00
3.253709218481995458e-01,7.317039012908935547e+00
3.416885848316380536e-01,7.790878772735595703e+00
3.588245942233194152e-01,8.358089447021484375e+00
3.768199908784543584e-01,9.064958572387695312e+00
3.957178738904026383e-01,9.739091873168945312e+00
4.155635038132851067e-01,1.047647762298583984e+01
4.364044110613082839e-01,1.123040580749511719e+01
4.582905097444192055e-01,1.235700416564941406e+01
4.812742172129270690e-01,1.326603412628173828e+01
5.054105795974019877e-01,1.429276943206787109e+01
5.307574036445197319e-01,1.537845325469970703e+01
5.573753951646003291e-01,1.677511787414550781e+01
5.853283044224232290e-01,1.807013320922851562e+01
6.146830788195304374e-01,1.936687088012695312e+01
6.455100232336936639e-01,2.089286613464355469e+01
6.778829683995597488e-01,2.297873115539550781e+01
7.118794477337446747e-01,2.476913833618164062e+01
7.475808830278770634e-01,2.673033332824707031e+01
7.850727794543244098e-01,2.878053283691406250e+01
8.244449303516435679e-01,3.157910346984863281e+01
8.657916322802170495e-01,3.406494522094726562e+01
9.092119108631356861e-01,3.661074829101562500e+01
9.548097579532167645e-01,3.937818908691406250e+01
1.002694380694176379e+00,4.347476196289062500e+01
1.052980463072455963e+00,4.707651138305664062e+01
1.105788440586125132e+00,5.091835403442382812e+01
1.161244788688691187e+00,5.502447891235351562e+01
1.219482325698642011e+00,5.974536895751953125e+01
1.280640530900194252e+00,6.436732482910156250e+01
1.344865878597093944e+00,6.952364349365234375e+01
1.412312188919538469e+00,7.520481109619140625e+01
1.483140996224401098e+00,8.306871795654296875e+01
1.557521935971076799e+00,8.977690887451171875e+01
1.635633150999524554e+00,9.676326751708984375e+01
1.717661718183540076e+00,1.046513977050781250e+02
1.803804096481099517e+00,1.134763031005859375e+02
1.894266597454855594e+00,1.228650512695312500e+02
1.989265879389688019e+00,1.327560882568359375e+02
2.089029466190718942e+00,1.431151733398437500e+02
2.193796292304567519e+00,1.589567413330078125e+02
2.303817274968914308e+00,1.716327667236328125e+02
2.419355915160939841e+00,1.843613891601562500e+02
2.540688928683898506e+00,1.991081390380859375e+02
2.668106908903285834e+00,2.172971191406250000e+02
2.801915022719862147e+00,2.347360687255859375e+02
2.942433741446385032e+00,2.535784454345703125e+02
