Jsc,Voc,FF,MPP
11.286275827199999,0.8250064928601131,72.92704022778555,6.790419644083139
5.4305107891399995,0.8069813865758001,73.99527481949366,3.242710560978338
2.55807450639,0.7870433239295906,74.7848894633772,1.505655743081538
1.35582471953,0.7695272702370852,75.45842794572954,0.787291052408069
0.659490523512,0.7492239030010654,75.74585760796685,0.3742648756833103
0.311160944024,0.7277624199556844,75.394111132664,0.17073090076722583
0.19783832638100002,0.714673834262565,74.76795664228023,0.10571432064502581
0.092207727359,0.6920540729853841,72.15591371995895,0.04604466076751927
0.0475432864829,0.6712162776065869,67.34554077012663,0.021491192986884317
0.021449547307,0.6422344609040636,55.9074091768195,0.007701602555714044
