W_R,G_frac,l1_k_dir,l1_C_n_bulk,l1_mu_p,error
5.33896289605807,0.591717394933082,1.3145103232150135e-15,2.4400607090817495e-16,7.792297153882995e-08,22.22003793285056
5.129992474745401,0.7296244459829336,2.1618942406574402e-17,3.7279259033769764e-18,2.0034427927560744e-07,45.248325451775365
5.1169234737081295,0.8609993861334124,5.6782019702931465e-15,1.007198483880917e-18,9.647685075720116e-07,52.8635939775247
5.285244452888315,0.8058265802441404,1.0672476836323684e-18,1.2366582530130826e-18,1.1208547084229365e-07,59.56916880289021
5.219958291514577,0.5233328316068078,7.852755494724256e-15,8.5326780956587e-18,1.5177941306507507e-08,78.14374374821462
5.285515802799926,0.6912309956335814,8.568869785189036e-15,7.362945281639199e-17,5.246634533625294e-07,35.10453420298205
5.304092261576334,0.7252496259847716,1.1299516083106639e-18,5.872283616443743e-15,1.3383707472536774e-07,44.289760690718786
5.215624950761975,0.5079831261101071,8.386394780402582e-18,9.20665489227479e-18,2.3255572624036796e-07,8.03951812142383
5.282998997334786,0.9165974558680823,4.936948694960442e-18,3.666421832063727e-17,2.314579890520486e-08,74.14147087103782
5.326608423095296,0.7125779372456225,6.788387912421211e-18,1.8655260217376824e-16,1.1551186209731001e-08,31.06447022654974
5.218923520876054,0.5096044135297748,8.354648505415762e-18,9.950776488171588e-18,2.390693577054757e-07,7.484863005466211
5.1,0.5043466761367306,1e-14,1e-18,9.10296851450707e-07,44.73752167727359
5.2263881066426725,0.5127078689629356,8.093876713904323e-18,1.1694404530383839e-17,2.4957145166760797e-07,6.6140385960292365
5.234115789409849,0.5153733361730813,7.635747061219594e-18,1.4453700061770467e-17,2.5791662659995943e-07,6.114793256339913
5.247360894242409,0.5182661710478332,6.64974794738174e-18,1.926640671728773e-17,2.656340666507628e-07,5.4832797466309655
5.272886142783443,0.5228024496617856,5.024636066290535e-18,3.650150999054272e-17,2.7498665766532045e-07,4.84553315541418
5.318170563949235,0.5279406181150808,2.8696917032500077e-18,9.804370248627344e-17,2.8199295955821534e-07,5.296785144547435
5.330917455684337,0.519290506239748,7.161400420629856e-18,7.265655953921726e-17,4.877787839563549e-07,7.021004138412459
5.277031556330809,0.5265413810263415,5.122241244756008e-18,4.139099044040718e-17,2.849020504448603e-07,5.351523033436076
5.292672405543162,0.5216480249508619,3.6553496884095216e-18,5.4898265774217046e-17,2.710431938454835e-07,4.091197000901553
5.299151237817343,0.5171085405353353,3.135853061724683e-18,2.1176530201061705e-17,2.660188660637704e-07,3.261823350759707
5.304444170676777,0.5123954335969889,2.8308559359114143e-18,8.809087826444814e-18,2.656332105107388e-07,2.6160603119778854
5.311499157242254,0.5083370186215609,2.546952561636341e-18,2.8971855862174553e-18,2.686792104301558e-07,2.2167861978218193
5.301444352950005,0.5,9.152129532594936e-18,1.8989760929400418e-17,2.6772754764093424e-07,4.644413460040735
5.317618315113452,0.5066216068918147,1.9646003221952853e-18,1.0317061104314477e-18,2.7405373098436767e-07,2.205242314721687
5.3225954002194396,0.5054078410213658,2.242317101275824e-18,1e-18,2.7651629018191084e-07,2.3274637175645445
5.309284507607103,0.5061394469076038,1.8222314274630043e-18,1.1695182325746184e-18,2.7248060407346056e-07,2.6087531274931157
5.327825091765963,0.5080536881798454,2.7744197427160455e-18,1.174027967381313e-18,2.762575690089598e-07,1.9097590368171555
5.33892705397929,0.5089060622694347,1.4674447910354406e-18,1e-18,2.7909337281845257e-07,1.9023297202164837
5.348858480365133,0.5093644807926814,2.5210722126888876e-18,1e-18,2.8059709134425737e-07,2.084479764737911
5.4,1.0,2.7137342380459565e-15,2.3371507782316815e-17,1e-06,79.47077644262161
5.332189028482329,0.5083041359163007,1e-18,1e-18,2.9031412492094005e-07,1.9558802770812815
5.1,0.6080012280444811,6.628967477097974e-18,1e-18,2.3780487925763364e-07,33.82172142618596
5.4,0.6030951085858992,1e-18,1e-18,1e-06,30.25820974189576
5.4,0.6468376815180452,1.8510816610360353e-15,1e-18,1e-08,53.3616982054917
5.1,0.7689663698929917,1.2827539988165637e-15,1e-14,1e-08,67.04939124729287
5.4,0.7656235117073791,1e-18,1e-18,1e-06,61.06123472148881
5.332695815144944,0.5096581301469565,1.5092678433083369e-15,1e-18,2.7903135039408833e-07,24.17469461106838
5.339421875348141,0.5090606842276358,1.5359985380098151e-18,1e-18,2.896176091896899e-07,2.0825197126807686
5.344979043559651,0.5088373662611945,1e-18,1e-18,2.6650536752233536e-07,1.7613829086531
5.351602500735458,0.5090813933753751,1e-18,1e-18,2.498305140543002e-07,1.6741314564078609
5.3515989671956214,0.508446219339794,1e-18,1e-18,2.396445106913046e-07,1.4323197120490523
5.354162934511354,0.5070469792382413,1e-18,1e-18,2.1348090382573642e-07,0.9925242661665822
5.35631928578109,0.5055976101169412,1e-18,1e-18,1.885074321931646e-07,0.7369923280362207
5.357966898697574,0.5047193539700706,1e-18,1e-18,1.7157739438032415e-07,0.8482517788615214
5.36359341272846,0.5034954071687265,1e-18,2.6032499164570993e-16,1.8174943462575386e-07,1.0002701318948541
