lambda	I
3.000000000000000394e-07	7.470502093665373512e+06
3.010000000000000086e-07	5.042928051488986239e+06
3.020000000000000308e-07	5.955518571732838638e+06
3.030000000000000001e-07	5.683306037272557616e+06
3.040000000000000222e-07	5.371080311381445266e+06
3.050000000000000444e-07	5.724453021904991008e+06
3.060000000000000137e-07	5.216886469860158861e+06
3.070000000000000359e-07	5.538415937941540964e+06
3.080000000000000051e-07	4.894960745692163706e+06
3.090000000000000273e-07	4.585249870103432797e+06
3.099999999999999966e-07	5.314460895712742582e+06
3.110000000000000187e-07	5.441112457792080939e+06
3.120000000000000409e-07	4.974215223321945406e+06
3.130000000000000102e-07	6.246193398550134152e+06
3.140000000000000324e-07	4.235310441520174034e+06
3.150000000000000016e-07	5.293195246314634569e+06
3.160000000000000238e-07	4.799596066155863926e+06
3.170000000000000460e-07	3.795183570396833587e+06
3.180000000000000153e-07	4.425550794528021477e+06
3.190000000000000374e-07	4.335482667451500893e+06
3.200000000000000067e-07	4.666499835057828575e+06
3.210000000000000289e-07	3.489217693221778609e+06
3.219999999999999981e-07	3.444728678290357813e+06
3.230000000000000203e-07	4.209402063771300949e+06
3.240000000000000425e-07	3.743795386438486166e+06
3.250000000000000118e-07	4.713699843643546104e+06
3.260000000000000340e-07	4.444513726414716803e+06
3.270000000000000032e-07	3.808821315638368018e+06
3.280000000000000254e-07	3.566847376396117266e+06
3.289999999999999946e-07	4.817159491314542480e+06
3.300000000000000168e-07	3.888034110292286146e+06
3.310000000000000390e-07	3.112360771476541180e+06
3.320000000000000083e-07	3.979197540435674600e+06
3.330000000000000305e-07	4.266206957853083499e+06
3.339999999999999997e-07	3.694826189152630512e+06
3.350000000000000219e-07	3.267756760911229067e+06
3.360000000000000441e-07	3.780565229535863735e+06
3.370000000000000133e-07	3.545587625606575981e+06
3.380000000000000355e-07	3.364921936125890352e+06
3.390000000000000048e-07	3.563294333232257050e+06
3.400000000000000270e-07	3.507371621584841982e+06
3.409999999999999962e-07	3.319826838067387231e+06
3.420000000000000184e-07	3.850753174061321653e+06
3.430000000000000406e-07	3.857299480029992759e+06
3.440000000000000098e-07	3.209015997881780379e+06
3.450000000000000320e-07	3.563990244109018706e+06
3.460000000000000013e-07	3.104984241193080321e+06
3.470000000000000235e-07	3.375472676819254179e+06
3.480000000000000457e-07	3.379473533146572299e+06
3.490000000000000149e-07	2.744222103879342787e+06
3.500000000000000371e-07	3.080420136030958500e+06
3.510000000000000064e-07	3.280526869526441209e+06
3.520000000000000285e-07	3.891765173358832486e+06
3.529999999999999978e-07	4.215324317950566299e+06
3.540000000000000200e-07	3.048780916218969040e+06
3.550000000000000422e-07	2.874978240802992601e+06
3.560000000000000114e-07	3.742689042716431897e+06
3.570000000000000336e-07	3.622248177643109579e+06
3.580000000000000029e-07	3.495316000476466492e+06
3.590000000000000250e-07	3.604823080822837539e+06
3.600000000000000472e-07	3.664947135588290170e+06
3.610000000000000165e-07	4.442094231862738729e+06
3.620000000000000387e-07	4.269939679593708366e+06
3.630000000000000079e-07	4.305301193096877076e+06
3.640000000000000301e-07	4.914378586392728612e+06
3.649999999999999994e-07	3.909013985304146539e+06
3.660000000000000216e-07	4.426610610155676492e+06
3.670000000000000437e-07	4.118400580011183396e+06
3.680000000000000130e-07	4.864866274909596890e+06
3.690000000000000352e-07	4.328541550358700566e+06
3.700000000000000044e-07	4.433863382784994319e+06
3.710000000000000266e-07	4.813690462776880711e+06
3.720000000000000488e-07	4.291584453075783327e+06
3.730000000000000181e-07	4.216888142928756773e+06
3.740000000000000403e-07	5.028076498041532934e+06
3.750000000000000095e-07	4.850883459376838058e+06
3.760000000000000317e-07	5.040081563531378284e+06
3.770000000000000009e-07	4.737338995697224513e+06
3.780000000000000231e-07	5.032507215637240559e+06
