lambda n k
5.760000000000000756e-07 1.321809999999999929e+00 3.466190000000000104e-01
5.770000000000000448e-07 1.321531999999999929e+00 3.501500000000000168e-01
5.780000000000000141e-07 1.321312000000000042e+00 3.537310000000000176e-01
5.789999999999999833e-07 1.321153000000000022e+00 3.573600000000000110e-01
5.800000000000000585e-07 1.321056999999999926e+00 3.610360000000000236e-01
5.810000000000000277e-07 1.321026999999999951e+00 3.647599999999999731e-01
5.819999999999999970e-07 1.321066999999999991e+00 3.685280000000000222e-01
5.830000000000000721e-07 1.321177999999999964e+00 3.723409999999999775e-01
5.840000000000000413e-07 1.321364999999999901e+00 3.761959999999999749e-01
5.850000000000000106e-07 1.321628000000000025e+00 3.800919999999999854e-01
5.860000000000000857e-07 1.321971999999999925e+00 3.840270000000000072e-01
5.870000000000000550e-07 1.322397999999999962e+00 3.879980000000000095e-01
5.880000000000000242e-07 1.322910000000000030e+00 3.920029999999999903e-01
5.889999999999999935e-07 1.323509999999999964e+00 3.960409999999999764e-01
5.900000000000000686e-07 1.324200000000000044e+00 4.001069999999999904e-01
5.910000000000000378e-07 1.324982000000000104e+00 4.042000000000000037e-01
5.920000000000000071e-07 1.325858999999999899e+00 4.083160000000000123e-01
5.930000000000000822e-07 1.326832999999999929e+00 4.124530000000000141e-01
5.940000000000000515e-07 1.327904999999999891e+00 4.166070000000000051e-01
5.950000000000000207e-07 1.329077999999999982e+00 4.207739999999999814e-01
5.959999999999999900e-07 1.330352999999999897e+00 4.249519999999999964e-01
5.970000000000000651e-07 1.331730999999999998e+00 4.291360000000000174e-01
5.980000000000000343e-07 1.333213999999999899e+00 4.333230000000000137e-01
5.990000000000000036e-07 1.334802999999999962e+00 4.375089999999999812e-01
6.000000000000000787e-07 1.336497999999999964e+00 4.416900000000000270e-01
6.010000000000000480e-07 1.338300000000000045e+00 4.458619999999999806e-01
6.020000000000000172e-07 1.340209999999999901e+00 4.500219999999999776e-01
6.029999999999999865e-07 1.342228999999999894e+00 4.541640000000000121e-01
6.040000000000000616e-07 1.344354999999999967e+00 4.582860000000000267e-01
6.050000000000000309e-07 1.346589999999999954e+00 4.623820000000000152e-01
6.060000000000000001e-07 1.348932000000000020e+00 4.664479999999999738e-01
6.070000000000000752e-07 1.351380999999999943e+00 4.704820000000000113e-01
6.080000000000000445e-07 1.353936999999999946e+00 4.744769999999999821e-01
6.090000000000000137e-07 1.356599000000000110e+00 4.784309999999999952e-01
6.100000000000000889e-07 1.359364999999999934e+00 4.823399999999999910e-01
6.110000000000000581e-07 1.362233999999999945e+00 4.861989999999999923e-01
6.120000000000000274e-07 1.365205000000000002e+00 4.900039999999999951e-01
6.129999999999999966e-07 1.368276000000000048e+00 4.937509999999999954e-01
6.140000000000000717e-07 1.371445000000000025e+00 4.974379999999999913e-01
6.150000000000000410e-07 1.374710000000000099e+00 5.010590000000000321e-01
6.160000000000000102e-07 1.378069999999999906e+00 5.046129999999999782e-01
6.170000000000000854e-07 1.381520999999999999e+00 5.080940000000000456e-01
6.180000000000000546e-07 1.385062000000000015e+00 5.114999999999999547e-01
6.190000000000000239e-07 1.388687999999999922e+00 5.148270000000000346e-01
6.199999999999999931e-07 1.392398999999999942e+00 5.180740000000000345e-01
6.210000000000000682e-07 1.396190999999999960e+00 5.212350000000000039e-01
6.220000000000000375e-07 1.400061999999999918e+00 5.243100000000000538e-01
6.230000000000000067e-07 1.404007000000000005e+00 5.272940000000000405e-01
6.240000000000000819e-07 1.408025000000000082e+00 5.301860000000000461e-01
6.250000000000000511e-07 1.412110999999999894e+00 5.329829999999999846e-01
6.260000000000000204e-07 1.416263000000000050e+00 5.356819999999999915e-01
6.269999999999999896e-07 1.420476999999999990e+00 5.382820000000000382e-01
6.280000000000000648e-07 1.424749999999999961e+00 5.407809999999999562e-01
6.290000000000000340e-07 1.429078000000000070e+00 5.431770000000000209e-01
6.300000000000000033e-07 1.433457999999999899e+00 5.454679999999999529e-01
6.310000000000000784e-07 1.437885999999999997e+00 5.476520000000000277e-01
6.320000000000000476e-07 1.442358000000000029e+00 5.497290000000000232e-01
6.330000000000000169e-07 1.446871999999999936e+00 5.516959999999999642e-01
6.340000000000000920e-07 1.451422999999999908e+00 5.535539999999999905e-01
6.350000000000000613e-07 1.456009000000000109e+00 5.553000000000000158e-01
6.360000000000000305e-07 1.460623999999999922e+00 5.569340000000000401e-01
6.369999999999999998e-07 1.465265999999999957e+00 5.584550000000000347e-01
6.380000000000000749e-07 1.469929999999999959e+00 5.598629999999999995e-01
6.390000000000000441e-07 1.474614000000000091e+00 5.611570000000000169e-01
6.400000000000000134e-07 1.479313000000000100e+00 5.623369999999999758e-01
6.410000000000000885e-07 1.484024999999999928e+00 5.634019999999999584e-01
6.420000000000000578e-07 1.488744000000000067e+00 5.643519999999999648e-01
6.430000000000000270e-07 1.493468999999999935e+00 5.651880000000000237e-01
6.439999999999999963e-07 1.498194000000000026e+00 5.659089999999999954e-01
6.450000000000000714e-07 1.502917000000000058e+00 5.665160000000000196e-01
6.460000000000000406e-07 1.507633999999999919e+00 5.670089999999999852e-01
6.470000000000000099e-07 1.512340999999999935e+00 5.673890000000000322e-01
6.480000000000000850e-07 1.517036000000000051e+00 5.676550000000000207e-01
6.490000000000000543e-07 1.521713000000000093e+00 5.678090000000000082e-01
6.500000000000000235e-07 1.526370999999999922e+00 5.678509999999999946e-01
6.509999999999999928e-07 1.531006000000000089e+00 5.677830000000000377e-01
6.520000000000000679e-07 1.535612999999999895e+00 5.676039999999999974e-01
6.530000000000000372e-07 1.540191000000000088e+00 5.673169999999999602e-01
6.540000000000000064e-07 1.544734000000000052e+00 5.669220000000000370e-01
6.550000000000000815e-07 1.549241000000000090e+00 5.664200000000000346e-01
6.560000000000000508e-07 1.553708000000000089e+00 5.658130000000000104e-01
6.570000000000000200e-07 1.558132000000000073e+00 5.651019999999999932e-01
6.579999999999999893e-07 1.562508999999999926e+00 5.642890000000000406e-01
6.590000000000000644e-07 1.566835999999999895e+00 5.633749999999999591e-01
6.600000000000000337e-07 1.571110000000000007e+00 5.623620000000000285e-01
6.610000000000000029e-07 1.575328000000000062e+00 5.612519999999999731e-01
6.620000000000000780e-07 1.579487000000000085e+00 5.600469999999999615e-01
6.630000000000000473e-07 1.583584000000000103e+00 5.587480000000000224e-01
6.640000000000000165e-07 1.587615999999999916e+00 5.573580000000000201e-01
6.650000000000000917e-07 1.591579999999999995e+00 5.558790000000000120e-01
6.660000000000000609e-07 1.595472000000000001e+00 5.543139999999999734e-01
6.670000000000000302e-07 1.599291000000000018e+00 5.526630000000000154e-01
6.679999999999999994e-07 1.603034000000000070e+00 5.509309999999999485e-01
6.690000000000000745e-07 1.606697000000000042e+00 5.491200000000000525e-01
6.700000000000000438e-07 1.610278000000000098e+00 5.472310000000000230e-01
6.710000000000000130e-07 1.613774000000000042e+00 5.452690000000000037e-01
6.720000000000000882e-07 1.617183000000000037e+00 5.432360000000000522e-01
6.730000000000000574e-07 1.620503000000000027e+00 5.411350000000000326e-01
6.740000000000000267e-07 1.623729999999999896e+00 5.389690000000000314e-01
6.749999999999999959e-07 1.626862999999999948e+00 5.367410000000000236e-01
6.760000000000000711e-07 1.629898999999999987e+00 5.344550000000000134e-01
6.770000000000000403e-07 1.632835999999999954e+00 5.321129999999999471e-01
6.780000000000000096e-07 1.635672000000000015e+00 5.297199999999999687e-01
6.790000000000000847e-07 1.638404999999999889e+00 5.272790000000000532e-01
6.800000000000000539e-07 1.641032999999999964e+00 5.247929999999999540e-01
6.810000000000000232e-07 1.643553000000000042e+00 5.222670000000000368e-01
6.819999999999999924e-07 1.645966000000000040e+00 5.197049999999999725e-01
6.830000000000000676e-07 1.648268000000000066e+00 5.171090000000000408e-01
6.840000000000000368e-07 1.650458999999999898e+00 5.144849999999999701e-01
6.850000000000000061e-07 1.652536000000000005e+00 5.118369999999999864e-01
6.860000000000000812e-07 1.654498999999999942e+00 5.091689999999999827e-01
