lambda	I
3.000000000000000394e-07	2.188204959731896815e+04
3.010000000000000086e-07	2.675177653474286490e+04
3.020000000000000308e-07	2.323249068651734342e+04
3.030000000000000001e-07	1.883270819250740897e+04
3.040000000000000222e-07	2.079231328492686225e+04
3.050000000000000444e-07	2.560976823281179531e+04
3.060000000000000137e-07	1.946638548243483092e+04
3.070000000000000359e-07	2.165713718323605281e+04
3.080000000000000051e-07	1.932681676084643550e+04
3.090000000000000273e-07	1.907329212833365091e+04
3.099999999999999966e-07	1.958788487147635897e+04
3.110000000000000187e-07	1.657519420610364978e+04
3.120000000000000409e-07	1.871796413008126910e+04
3.130000000000000102e-07	1.940800562623102087e+04
3.140000000000000324e-07	1.867766712454316075e+04
3.150000000000000016e-07	1.537906725237672981e+04
3.160000000000000238e-07	1.863637089244118033e+04
3.170000000000000460e-07	2.079359134127900688e+04
3.180000000000000153e-07	1.491467965535478106e+04
3.190000000000000374e-07	1.869485003451603916e+04
3.200000000000000067e-07	1.631143636518961102e+04
3.210000000000000289e-07	1.794583243162798681e+04
3.219999999999999981e-07	1.863135458147020836e+04
3.230000000000000203e-07	1.451968885990039416e+04
3.240000000000000425e-07	1.749224226939485743e+04
3.250000000000000118e-07	1.662046690155212127e+04
3.260000000000000340e-07	1.697255390121030359e+04
3.270000000000000032e-07	1.260867128393994244e+04
3.280000000000000254e-07	1.545453162537370554e+04
3.289999999999999946e-07	1.723395629988113069e+04
3.300000000000000168e-07	1.343155678955610711e+04
3.310000000000000390e-07	1.392119840612267217e+04
3.320000000000000083e-07	1.316775054857707619e+04
3.330000000000000305e-07	1.471370572898296450e+04
3.339999999999999997e-07	1.474340217011515415e+04
3.350000000000000219e-07	1.151573260470316018e+04
3.360000000000000441e-07	1.743432999406480667e+04
3.370000000000000133e-07	1.227659383105929192e+04
3.380000000000000355e-07	1.487006275289963560e+04
3.390000000000000048e-07	1.334060161095545300e+04
3.400000000000000270e-07	1.399467450029181782e+04
3.409999999999999962e-07	1.471147488208799768e+04
3.420000000000000184e-07	1.224273808260550868e+04
3.430000000000000406e-07	1.384948137693771787e+04
3.440000000000000098e-07	1.496306595317445499e+04
3.450000000000000320e-07	1.459017936937511331e+04
3.460000000000000013e-07	1.302503656430952651e+04
3.470000000000000235e-07	1.277554442855777052e+04
3.480000000000000457e-07	1.268800347658848295e+04
3.490000000000000149e-07	1.309541132923841360e+04
3.500000000000000371e-07	1.500921422032253031e+04
3.510000000000000064e-07	1.446993585596369121e+04
3.520000000000000285e-07	1.593938039524947089e+04
3.529999999999999978e-07	1.425252742147258687e+04
3.540000000000000200e-07	1.266294103240590630e+04
3.550000000000000422e-07	1.476192121843708082e+04
3.560000000000000114e-07	1.551862768026155572e+04
3.570000000000000336e-07	1.462218897872929665e+04
3.580000000000000029e-07	1.218830626701101392e+04
3.590000000000000250e-07	1.533061350366175611e+04
3.600000000000000472e-07	1.601626507262160521e+04
3.610000000000000165e-07	1.429181128713133512e+04
3.620000000000000387e-07	1.420481566678850868e+04
3.630000000000000079e-07	1.617700746855514444e+04
3.640000000000000301e-07	1.544604332697911741e+04
3.649999999999999994e-07	1.315569288178907118e+04
3.660000000000000216e-07	1.556721492141996350e+04
3.670000000000000437e-07	1.572120292212102504e+04
3.680000000000000130e-07	1.186800134431645347e+04
3.690000000000000352e-07	1.515149772591399051e+04
3.700000000000000044e-07	1.464101517767239420e+04
3.710000000000000266e-07	1.504695831623942468e+04
3.720000000000000488e-07	1.386131087406999177e+04
3.730000000000000181e-07	1.558097444608459955e+04
3.740000000000000403e-07	1.542874323697011278e+04
3.750000000000000095e-07	1.751669124496003133e+04
3.760000000000000317e-07	1.353456788629194671e+04
3.770000000000000009e-07	1.261839305903897366e+04
3.780000000000000231e-07	1.382818035154809149e+04
3.790000000000000453e-07	1.020925215838337135e+04
3.800000000000000146e-07	1.381160592327189806e+04
3.810000000000000368e-07	1.402477021408535620e+04
3.820000000000000060e-07	1.382181966065317101e+04
3.830000000000000282e-07	1.268824547434095439e+04
3.840000000000000504e-07	1.274145952485268208e+04
3.850000000000000196e-07	1.777310080773516529e+04
3.860000000000000418e-07	1.636665402180102683e+04
3.870000000000000111e-07	1.827176061027530886e+04
3.880000000000000333e-07	1.610678608754440393e+04
3.890000000000000025e-07	1.391159048054722552e+04
3.900000000000000247e-07	1.436379915792036991e+04
3.910000000000000469e-07	1.582105608853701597e+04
3.920000000000000161e-07	1.521358074011230019e+04
3.930000000000000383e-07	1.481021389819445903e+04
3.940000000000000076e-07	1.321040077149778153e+04
3.950000000000000298e-07	1.565974613016532203e+04
3.959999999999999990e-07	1.516954518153571917e+04
3.970000000000000212e-07	1.626820638621016951e+04
3.980000000000000434e-07	1.683868058469474272e+04
3.990000000000000126e-07	1.638345795545138753e+04
4.000000000000000348e-07	1.608848510191895730e+04
4.010000000000000041e-07	1.842910145323420875e+04
4.020000000000000263e-07	1.835718150154478280e+04
4.030000000000000485e-07	1.671536680743918623e+04
4.040000000000000177e-07	1.838797021833063627e+04
4.050000000000000399e-07	1.795375760011873354e+04
4.060000000000000092e-07	1.882823905339212070e+04
4.070000000000000313e-07	1.925384077754598911e+04
4.080000000000000006e-07	2.073681613139523688e+04
4.090000000000000228e-07	2.058582784426691433e+04
4.100000000000000450e-07	2.082858414601127515e+04
4.110000000000000142e-07	1.907668111514796692e+04
4.120000000000000364e-07	2.729950436589567107e+04
4.130000000000000057e-07	2.742400562281101884e+04
4.140000000000000279e-07	2.841298893273451176e+04
4.150000000000000500e-07	3.338874280913278926e+04
4.160000000000000193e-07	3.435506464650734415e+04
4.170000000000000415e-07	3.861796629993944225e+04
4.180000000000000107e-07	4.015123721464315895e+04
4.190000000000000329e-07	4.632890724282548035e+04
4.200000000000000022e-07	5.308647429014128284e+04
4.210000000000000244e-07	6.024690105461981875e+04
4.220000000000000465e-07	6.467328249817681353e+04
4.230000000000000158e-07	7.320812684058162267e+04
4.240000000000000380e-07	8.195230668485509523e+04
4.250000000000000072e-07	9.578646698929948616e+04
4.260000000000000294e-07	1.080399037784480170e+05
4.270000000000000516e-07	1.208992251470719057e+05
4.280000000000000209e-07	1.356628324182620854e+05
4.290000000000000431e-07	1.507525110023382585e+05
4.300000000000000123e-07	1.671586641790016147e+05
4.310000000000000345e-07	1.864305457196934440e+05
4.320000000000000037e-07	2.066808571190329094e+05
4.330000000000000259e-07	2.327934321511723101e+05
4.340000000000000481e-07	2.520826792765370337e+05
4.350000000000000174e-07	2.770265988945502322e+05
4.360000000000000396e-07	3.041516923454320058e+05
4.370000000000000088e-07	3.361805405189315788e+05
