lambda	I
3.000000000000000394e-07	2.422147313645248301e+06
3.010000000000000086e-07	2.562342519216984510e+06
3.020000000000000308e-07	2.149145925202186219e+06
3.030000000000000001e-07	2.270823184019281063e+06
3.040000000000000222e-07	2.336512056873524562e+06
3.050000000000000444e-07	2.469501205851925537e+06
3.060000000000000137e-07	2.876376687011695933e+06
3.070000000000000359e-07	2.409983131416025106e+06
3.080000000000000051e-07	2.286427029388499446e+06
3.090000000000000273e-07	2.467993201753406785e+06
3.099999999999999966e-07	2.503655275013621897e+06
3.110000000000000187e-07	2.363743268753788434e+06
3.120000000000000409e-07	2.340677255877773743e+06
3.130000000000000102e-07	2.474316640412524808e+06
3.140000000000000324e-07	2.094131604942892678e+06
3.150000000000000016e-07	2.527116702919897623e+06
3.160000000000000238e-07	2.533250294945383444e+06
3.170000000000000460e-07	2.548498744409915991e+06
3.180000000000000153e-07	1.945980285209462978e+06
3.190000000000000374e-07	2.288755548094352242e+06
3.200000000000000067e-07	2.366527072768905200e+06
3.210000000000000289e-07	2.425020807922986802e+06
3.219999999999999981e-07	2.339628717976932414e+06
3.230000000000000203e-07	2.245720518400349654e+06
3.240000000000000425e-07	2.511292450264099520e+06
3.250000000000000118e-07	2.454877206678436138e+06
3.260000000000000340e-07	2.073972159737517824e+06
3.270000000000000032e-07	2.273154922443399671e+06
3.280000000000000254e-07	2.452073820834734011e+06
3.289999999999999946e-07	2.263213488375343848e+06
3.300000000000000168e-07	2.211519927241959143e+06
3.310000000000000390e-07	2.192578543765347451e+06
3.320000000000000083e-07	2.496683950369060505e+06
3.330000000000000305e-07	2.240046289989003446e+06
3.339999999999999997e-07	2.273571486599980388e+06
3.350000000000000219e-07	2.137701524023108650e+06
3.360000000000000441e-07	1.831894515510698315e+06
3.370000000000000133e-07	1.964836037577279611e+06
3.380000000000000355e-07	2.162097107843940146e+06
3.390000000000000048e-07	2.267317755045099184e+06
3.400000000000000270e-07	2.319928631380090956e+06
3.409999999999999962e-07	2.367366234726539347e+06
3.420000000000000184e-07	2.002628602778667817e+06
3.430000000000000406e-07	2.136561280901649501e+06
3.440000000000000098e-07	2.512179029211081099e+06
3.450000000000000320e-07	2.148547804438124876e+06
3.460000000000000013e-07	1.913739960076091113e+06
3.470000000000000235e-07	1.981688068887435831e+06
3.480000000000000457e-07	2.477895240712875035e+06
3.490000000000000149e-07	2.133625730334222782e+06
3.500000000000000371e-07	2.492499804406126495e+06
3.510000000000000064e-07	2.429625991358228028e+06
3.520000000000000285e-07	2.698341565836917143e+06
3.529999999999999978e-07	2.357795982608448248e+06
3.540000000000000200e-07	2.671882746906619985e+06
3.550000000000000422e-07	2.275730963902174495e+06
3.560000000000000114e-07	2.480713997525652405e+06
3.570000000000000336e-07	2.378301335415504873e+06
3.580000000000000029e-07	2.281186540416043717e+06
3.590000000000000250e-07	2.212697073794145603e+06
3.600000000000000472e-07	2.380973311484237667e+06
3.610000000000000165e-07	2.385337128772983793e+06
3.620000000000000387e-07	2.329667467726714909e+06
3.630000000000000079e-07	2.350030422597134020e+06
3.640000000000000301e-07	2.444990268651221879e+06
3.649999999999999994e-07	2.687618006770033855e+06
3.660000000000000216e-07	2.537102499958418310e+06
3.670000000000000437e-07	2.444311561134120449e+06
3.680000000000000130e-07	2.429322790954451077e+06
3.690000000000000352e-07	2.468247038306362927e+06
3.700000000000000044e-07	2.411441988129092380e+06
3.710000000000000266e-07	2.436140666308989283e+06
3.720000000000000488e-07	2.108938569751756731e+06
3.730000000000000181e-07	2.413796746868667193e+06
3.740000000000000403e-07	2.306791766866187565e+06
3.750000000000000095e-07	2.526455950271998998e+06
3.760000000000000317e-07	2.272029997422068380e+06
3.770000000000000009e-07	1.991271803346405737e+06
3.780000000000000231e-07	2.299276817590305116e+06
3.790000000000000453e-07	2.321499113941702526e+06
3.800000000000000146e-07	2.541076628044085111e+06
3.810000000000000368e-07	2.451998579438920598e+06
3.820000000000000060e-07	2.327284367627563421e+06
3.830000000000000282e-07	2.351383056837181095e+06
3.840000000000000504e-07	2.483862771215844434e+06
3.850000000000000196e-07	2.750622083876699209e+06
3.860000000000000418e-07	2.196633499015749432e+06
3.870000000000000111e-07	2.322936174023252912e+06
3.880000000000000333e-07	2.632449225584745873e+06
3.890000000000000025e-07	2.648287459546345752e+06
3.900000000000000247e-07	2.489271294996437151e+06
3.910000000000000469e-07	2.547027800548071507e+06
3.920000000000000161e-07	2.529550034846961033e+06
3.930000000000000383e-07	2.909515437525071204e+06
3.940000000000000076e-07	2.441738666764935944e+06
3.950000000000000298e-07	2.674112276681734715e+06
3.959999999999999990e-07	2.697690118201309815e+06
3.970000000000000212e-07	2.547969003345569130e+06
3.980000000000000434e-07	2.321010412249274086e+06
3.990000000000000126e-07	2.863029272810977884e+06
4.000000000000000348e-07	2.854696635301249567e+06
4.010000000000000041e-07	2.863599602797108702e+06
4.020000000000000263e-07	2.855972138311763760e+06
4.030000000000000485e-07	3.229040782932203729e+06
4.040000000000000177e-07	3.512909926465604920e+06
4.050000000000000399e-07	3.776529665368592832e+06
4.060000000000000092e-07	3.933387766265557148e+06
4.070000000000000313e-07	4.121072822125902865e+06
4.080000000000000006e-07	4.509130055992518552e+06
4.090000000000000228e-07	4.944989974014206789e+06
4.100000000000000450e-07	5.552684391740969382e+06
4.110000000000000142e-07	5.961792296819999814e+06
4.120000000000000364e-07	6.737937126360187307e+06
4.130000000000000057e-07	7.357581514638089575e+06
4.140000000000000279e-07	7.896868090954222716e+06
4.150000000000000500e-07	8.503965212869383395e+06
4.160000000000000193e-07	1.007182786886239238e+07
4.170000000000000415e-07	1.101512534632457793e+07
4.180000000000000107e-07	1.200316300367955305e+07
4.190000000000000329e-07	1.369756584318517148e+07
4.200000000000000022e-07	1.589598180788030475e+07
4.210000000000000244e-07	1.802842660560933501e+07
4.220000000000000465e-07	1.995312670514482260e+07
4.230000000000000158e-07	2.240144683360834047e+07
4.240000000000000380e-07	2.485895816831699759e+07
4.250000000000000072e-07	2.827285111854292452e+07
4.260000000000000294e-07	3.150144949103409052e+07
4.270000000000000516e-07	3.498669144793333858e+07
4.280000000000000209e-07	3.930498461015413702e+07
4.290000000000000431e-07	4.456453871678180993e+07
4.300000000000000123e-07	4.981088670037764311e+07
4.310000000000000345e-07	5.490554227749106288e+07
4.320000000000000037e-07	5.968982744078215957e+07
4.330000000000000259e-07	6.687612209983442724e+07
4.340000000000000481e-07	7.338475445586872101e+07
4.350000000000000174e-07	8.124147037364505231e+07
4.360000000000000396e-07	9.010912144452890754e+07
4.370000000000000088e-07	9.970494945513597131e+07
4.380000000000000310e-07	1.106455917847741991e+08
4.390000000000000532e-07	1.239725063986247927e+08
4.400000000000000224e-07	1.373718049558027089e+08
4.410000000000000446e-07	1.584020481049734652e+08
4.420000000000000139e-07	1.806159832613458931e+08
4.430000000000000361e-07	2.077349520623281002e+08
4.440000000000000053e-07	2.370780229660452604e+08
4.450000000000000275e-07	2.726241848110399246e+08
4.460000000000000497e-07	3.129412390514580607e+08
4.470000000000000189e-07	3.562496890915066004e+08
4.480000000000000411e-07	4.018274175279980898e+08
4.490000000000000104e-07	4.436171740778604746e+08
4.500000000000000326e-07	4.817760720338333249e+08
4.510000000000000018e-07	5.116669485854422450e+08
4.520000000000000240e-07	5.330180888343548775e+08
4.530000000000000462e-07	5.401044366287833452e+08
4.540000000000000155e-07	5.338252054831377268e+08
4.550000000000000376e-07	5.141660642169892788e+08
4.560000000000000069e-07	4.875119744714992046e+08
4.570000000000000291e-07	4.552267427217662334e+08
4.580000000000000513e-07	4.193273030142618418e+08
4.590000000000000205e-07	3.883615957365089059e+08
4.600000000000000427e-07	3.598477539149143100e+08
4.610000000000000120e-07	3.394938643256487846e+08
4.620000000000000342e-07	3.257762049882924557e+08
4.630000000000000034e-07	3.170537210109712481e+08
4.640000000000000256e-07	3.145212971955698729e+08
4.650000000000000478e-07	3.160130093166480064e+08
4.660000000000000170e-07	3.144223191727516055e+08
4.670000000000000392e-07	3.144585011109931469e+08
4.680000000000000085e-07	3.122879842540415525e+08
4.690000000000000307e-07	3.093009751044775248e+08
4.700000000000000528e-07	3.003207433877462149e+08
4.710000000000000221e-07	2.913017790689863563e+08
4.720000000000000443e-07	2.803009659790996313e+08
4.730000000000000135e-07	2.696028225228194594e+08
4.740000000000000357e-07	2.628661426000719666e+08
4.750000000000000050e-07	2.565019061344155967e+08
4.760000000000000272e-07	2.506228078691041172e+08
4.770000000000000494e-07	2.494282858299234211e+08
4.780000000000000186e-07	2.494106040894945562e+08
4.789999999999999879e-07	2.552270448573891819e+08
4.800000000000000630e-07	2.622339266156474352e+08
4.810000000000000322e-07	2.692258007020046711e+08
4.820000000000000015e-07	2.797154797245733142e+08
4.830000000000000766e-07	2.871539808218078613e+08
4.840000000000000459e-07	2.978756485514410734e+08
4.850000000000000151e-07	3.093966477080741525e+08
4.859999999999999844e-07	3.163506695926848054e+08
4.870000000000000595e-07	3.277898364748036265e+08
4.880000000000000287e-07	3.363092793654241562e+08
4.889999999999999980e-07	3.457374432575790286e+08
4.900000000000000731e-07	3.562699071996980309e+08
4.910000000000000424e-07	3.662639347739317417e+08
4.920000000000000116e-07	3.763938915055932403e+08
4.929999999999999809e-07	3.885897619107388854e+08
4.940000000000000560e-07	4.012402835573520660e+08
4.950000000000000252e-07	4.122159753647967577e+08
4.959999999999999945e-07	4.233706746316708922e+08
4.970000000000000696e-07	4.354816297939409614e+08
4.980000000000000389e-07	4.495629249681611061e+08
4.990000000000000081e-07	4.607317313189263344e+08
5.000000000000000833e-07	4.731972725376970172e+08
5.010000000000000525e-07	4.828076051641182899e+08
5.020000000000000218e-07	4.957956732236751914e+08
5.029999999999999910e-07	5.045642479908369780e+08
5.040000000000000661e-07	5.155764963585115671e+08
5.050000000000000354e-07	5.250345919984880090e+08
5.060000000000000046e-07	5.318793857865562439e+08
5.070000000000000798e-07	5.409567557100416422e+08
5.080000000000000490e-07	5.473822334835853577e+08
5.090000000000000183e-07	5.555874671915444136e+08
5.099999999999999875e-07	5.623813928566317558e+08
5.110000000000000626e-07	5.697874490830775499e+08
5.120000000000000319e-07	5.746533204754945040e+08
5.130000000000000011e-07	5.828792242560975552e+08
5.140000000000000763e-07	5.883398350552442074e+08
5.150000000000000455e-07	5.927994827747666836e+08
5.160000000000000148e-07	6.004673369854321480e+08
5.169999999999999840e-07	6.062752241512171030e+08
5.180000000000000591e-07	6.129685960805822611e+08
5.190000000000000284e-07	6.171487960542328358e+08
5.199999999999999976e-07	6.212881399183257818e+08
5.210000000000000728e-07	6.270930210263403654e+08
5.220000000000000420e-07	6.334577544800536633e+08
5.230000000000000113e-07	6.390169184453108311e+08
5.239999999999999805e-07	6.429802984961128235e+08
5.250000000000000557e-07	6.487205775475198030e+08
5.260000000000000249e-07	6.548853626676417589e+08
5.269999999999999942e-07	6.610678711247649193e+08
5.280000000000000693e-07	6.653015719338856936e+08
5.290000000000000385e-07	6.726248394268294573e+08
5.300000000000000078e-07	6.776076275516099930e+08
5.310000000000000829e-07	6.837547814362180233e+08
5.320000000000000522e-07	6.890909546295706034e+08
5.330000000000000214e-07	6.958863107506002188e+08
5.339999999999999907e-07	7.021129114744193554e+08
5.350000000000000658e-07	7.102285680265870094e+08
5.360000000000000350e-07	7.141560653079557419e+08
5.370000000000000043e-07	7.214852639903267622e+08
5.380000000000000794e-07	7.251249348521804810e+08
5.390000000000000487e-07	7.346635928081398010e+08
5.400000000000000179e-07	7.408473350576546192e+08
5.409999999999999872e-07	7.483537131848853827e+08
5.420000000000000623e-07	7.545683878320696354e+08
5.430000000000000315e-07	7.609365961509528160e+08
5.440000000000000008e-07	7.680621567344412804e+08
5.450000000000000759e-07	7.745167890351637602e+08
5.460000000000000452e-07	7.819924446284866333e+08
5.470000000000000144e-07	7.865666136178535223e+08
5.479999999999999837e-07	7.929094275765947104e+08
5.490000000000000588e-07	8.002828855317413807e+08
5.500000000000000281e-07	8.050860498342728615e+08
5.509999999999999973e-07	8.118855421687387228e+08
5.520000000000000724e-07	8.163864675754427910e+08
5.530000000000000417e-07	8.218604078479336500e+08
5.540000000000000109e-07	8.269641465086190701e+08
5.550000000000000861e-07	8.356923186945737600e+08
5.560000000000000553e-07	8.398152605019451380e+08
5.570000000000000246e-07	8.430672001014884710e+08
5.579999999999999938e-07	8.472235988420414925e+08
