lambda	I
3.000000000000000394e-07	3.145013051120507953e+04
3.010000000000000086e-07	4.009020892575674952e+04
3.020000000000000308e-07	3.955338139936542575e+04
3.030000000000000001e-07	4.137016461770531168e+04
3.040000000000000222e-07	3.839663437907835760e+04
3.050000000000000444e-07	3.409795535615474364e+04
3.060000000000000137e-07	4.499670748532268044e+04
3.070000000000000359e-07	4.263722533622691844e+04
3.080000000000000051e-07	3.698381605908795609e+04
3.090000000000000273e-07	3.518551651919537835e+04
3.099999999999999966e-07	3.887972874303458229e+04
3.110000000000000187e-07	3.282927983273382415e+04
3.120000000000000409e-07	3.343471084341091046e+04
3.130000000000000102e-07	2.716326654836486705e+04
3.140000000000000324e-07	3.759261072446693288e+04
3.150000000000000016e-07	3.630766660672790749e+04
3.160000000000000238e-07	3.980324231747515296e+04
3.170000000000000460e-07	3.327210022275934170e+04
3.180000000000000153e-07	3.174181190845875972e+04
3.190000000000000374e-07	3.207116959175172451e+04
3.200000000000000067e-07	2.972018539506087836e+04
3.210000000000000289e-07	3.691644987379666418e+04
3.219999999999999981e-07	3.152974747419027335e+04
3.230000000000000203e-07	3.831302988188897871e+04
3.240000000000000425e-07	3.257205076785670826e+04
3.250000000000000118e-07	3.473208895499711070e+04
3.260000000000000340e-07	3.413155405096912000e+04
3.270000000000000032e-07	3.755818126306853810e+04
3.280000000000000254e-07	3.553574378897354472e+04
3.289999999999999946e-07	2.949509531342545961e+04
3.300000000000000168e-07	3.368409558449872566e+04
3.310000000000000390e-07	3.103923669178953787e+04
3.320000000000000083e-07	3.200627327553182113e+04
3.330000000000000305e-07	2.731524227965208775e+04
3.339999999999999997e-07	2.946038146083382890e+04
3.350000000000000219e-07	3.064670943848803654e+04
3.360000000000000441e-07	2.903558704839811253e+04
3.370000000000000133e-07	2.660229207319062698e+04
3.380000000000000355e-07	2.860699127671667156e+04
3.390000000000000048e-07	3.163226541730976533e+04
3.400000000000000270e-07	2.845066013841274616e+04
3.409999999999999962e-07	2.973624988528967879e+04
3.420000000000000184e-07	2.987059979367535198e+04
3.430000000000000406e-07	3.043501439419823146e+04
3.440000000000000098e-07	2.707446687873659539e+04
3.450000000000000320e-07	2.497973378296938608e+04
3.460000000000000013e-07	2.989247820266432609e+04
3.470000000000000235e-07	2.765715709155745571e+04
3.480000000000000457e-07	2.522232915963137566e+04
3.490000000000000149e-07	3.423776589955576492e+04
3.500000000000000371e-07	3.118973620165234388e+04
3.510000000000000064e-07	2.909459973667420127e+04
3.520000000000000285e-07	2.568903397453268917e+04
3.529999999999999978e-07	2.786386853144782435e+04
3.540000000000000200e-07	3.128170424726677447e+04
3.550000000000000422e-07	2.767838738818173806e+04
3.560000000000000114e-07	3.478021987001704110e+04
3.570000000000000336e-07	2.960270553479953014e+04
3.580000000000000029e-07	3.250759975215560553e+04
3.590000000000000250e-07	3.372850838445766567e+04
3.600000000000000472e-07	2.921776511042578204e+04
3.610000000000000165e-07	3.238083777917188127e+04
3.620000000000000387e-07	3.272326550091973695e+04
3.630000000000000079e-07	3.437230461914544867e+04
3.640000000000000301e-07	2.836524199486411453e+04
3.649999999999999994e-07	2.928704868062770038e+04
3.660000000000000216e-07	3.441120392785249715e+04
3.670000000000000437e-07	3.680173524008861568e+04
3.680000000000000130e-07	2.524657619194252038e+04
3.690000000000000352e-07	2.683034168356158261e+04
3.700000000000000044e-07	2.759497470892730416e+04
3.710000000000000266e-07	2.853517255590730565e+04
3.720000000000000488e-07	2.999844328710107948e+04
3.730000000000000181e-07	3.304574519447941566e+04
3.740000000000000403e-07	2.839456797439831280e+04
3.750000000000000095e-07	3.336337456560306600e+04
3.760000000000000317e-07	2.857913434793910346e+04
3.770000000000000009e-07	2.760385368353264130e+04
3.780000000000000231e-07	2.970320072605714449e+04
3.790000000000000453e-07	2.784174126991364392e+04
