lambda	I
3.000000000000000394e-07	1.481510300849294872e+05
3.010000000000000086e-07	1.277204491977383877e+05
3.020000000000000308e-07	1.316552911787914054e+05
3.030000000000000001e-07	1.196061840091811609e+05
3.040000000000000222e-07	1.574878922035607975e+05
3.050000000000000444e-07	1.165472986822832027e+05
3.060000000000000137e-07	1.463271391386515752e+05
3.070000000000000359e-07	1.379184482519181038e+05
3.080000000000000051e-07	1.287983335587766051e+05
3.090000000000000273e-07	1.274394463522569713e+05
3.099999999999999966e-07	1.498249805355089775e+05
3.110000000000000187e-07	1.120768784107717220e+05
3.120000000000000409e-07	1.150205671534937137e+05
3.130000000000000102e-07	9.634216910821887723e+04
3.140000000000000324e-07	1.351662196692929720e+05
3.150000000000000016e-07	1.225392548509856279e+05
3.160000000000000238e-07	1.232147791364529839e+05
3.170000000000000460e-07	1.413625912853975897e+05
3.180000000000000153e-07	1.448761804262327205e+05
3.190000000000000374e-07	1.289647304968359240e+05
3.200000000000000067e-07	1.037047643079155969e+05
3.210000000000000289e-07	1.235772596575405769e+05
3.219999999999999981e-07	1.035854015163698496e+05
3.230000000000000203e-07	1.489264427068457881e+05
3.240000000000000425e-07	1.112350530659813812e+05
3.250000000000000118e-07	1.253708608512223436e+05
3.260000000000000340e-07	1.355326696483527194e+05
3.270000000000000032e-07	1.198086484564270650e+05
3.280000000000000254e-07	1.345567713581129792e+05
3.289999999999999946e-07	1.470117508513677458e+05
3.300000000000000168e-07	1.279722477353837894e+05
3.310000000000000390e-07	1.267955962760065449e+05
3.320000000000000083e-07	1.468752956296350167e+05
3.330000000000000305e-07	1.200438176120578137e+05
3.339999999999999997e-07	1.275745336394996993e+05
3.350000000000000219e-07	1.414164246915476397e+05
3.360000000000000441e-07	1.219481102926104068e+05
3.370000000000000133e-07	1.373792818966062623e+05
3.380000000000000355e-07	1.188220734531594935e+05
3.390000000000000048e-07	1.282823364909261727e+05
3.400000000000000270e-07	1.260842993157637393e+05
3.409999999999999962e-07	1.156153749571404478e+05
3.420000000000000184e-07	1.161377175176048622e+05
3.430000000000000406e-07	1.117515270431176177e+05
3.440000000000000098e-07	1.179206362074808421e+05
3.450000000000000320e-07	8.523445194141303364e+04
3.460000000000000013e-07	1.139530540546116827e+05
3.470000000000000235e-07	1.151573936389004230e+05
3.480000000000000457e-07	1.047344020365079487e+05
3.490000000000000149e-07	1.335231439155174012e+05
3.500000000000000371e-07	1.126706457561894931e+05
3.510000000000000064e-07	1.195789371676290612e+05
3.520000000000000285e-07	1.240195395570747496e+05
3.529999999999999978e-07	1.106964623370517802e+05
3.540000000000000200e-07	1.224364993144131004e+05
3.550000000000000422e-07	1.246754957857064437e+05
3.560000000000000114e-07	1.271357066176877852e+05
3.570000000000000336e-07	1.174393717108016281e+05
3.580000000000000029e-07	1.230114996992563247e+05
3.590000000000000250e-07	1.270244597521518444e+05
3.600000000000000472e-07	1.268337351583482523e+05
3.610000000000000165e-07	1.315731258236057474e+05
3.620000000000000387e-07	1.243795692551652610e+05
3.630000000000000079e-07	1.234648942188198853e+05
3.640000000000000301e-07	1.363173412664106872e+05
3.649999999999999994e-07	1.304171920021102269e+05
3.660000000000000216e-07	1.308570803944031213e+05
3.670000000000000437e-07	1.195467337119558069e+05
3.680000000000000130e-07	1.187501980824186467e+05
3.690000000000000352e-07	1.329743580916299834e+05
3.700000000000000044e-07	1.447688496052040718e+05
3.710000000000000266e-07	1.250628054991872341e+05
3.720000000000000488e-07	1.245135388913493225e+05
3.730000000000000181e-07	1.242451746740164817e+05
3.740000000000000403e-07	1.229568342912901571e+05
3.750000000000000095e-07	1.228185312978007423e+05
3.760000000000000317e-07	1.253073192388137250e+05
3.770000000000000009e-07	1.199054779476131080e+05
3.780000000000000231e-07	1.294646291810570110e+05
3.790000000000000453e-07	1.236738840390017576e+05
3.800000000000000146e-07	1.125656867726873752e+05
3.810000000000000368e-07	1.267859322969590139e+05
3.820000000000000060e-07	1.077948981329349626e+05
3.830000000000000282e-07	1.107272835896128672e+05
3.840000000000000504e-07	1.043966431976443273e+05
3.850000000000000196e-07	1.196575125416383817e+05
3.860000000000000418e-07	1.266699574936583231e+05
3.870000000000000111e-07	1.195278801491517952e+05
3.880000000000000333e-07	1.216944537978098524e+05
3.890000000000000025e-07	1.140473214683485130e+05
3.900000000000000247e-07	1.221409948636082845e+05
3.910000000000000469e-07	1.277674172367500141e+05
3.920000000000000161e-07	1.242436636592655996e+05
3.930000000000000383e-07	1.211458091331227915e+05
3.940000000000000076e-07	1.149021500881685788e+05
3.950000000000000298e-07	1.278300759173902625e+05
3.959999999999999990e-07	1.283235174617882149e+05
3.970000000000000212e-07	1.273878394728437997e+05
3.980000000000000434e-07	1.334526286696602474e+05
3.990000000000000126e-07	1.355141007233679120e+05
4.000000000000000348e-07	1.400802118770567176e+05
4.010000000000000041e-07	1.434629703837681445e+05
4.020000000000000263e-07	1.407969996176583227e+05
4.030000000000000485e-07	1.471459231686142157e+05
4.040000000000000177e-07	1.668111036774871754e+05
4.050000000000000399e-07	1.579389116826223035e+05
4.060000000000000092e-07	1.578726928219674155e+05
4.070000000000000313e-07	1.688897984016948612e+05
4.080000000000000006e-07	1.883592354414724396e+05
4.090000000000000228e-07	2.077113194777116587e+05
4.100000000000000450e-07	2.145758432766576007e+05
4.110000000000000142e-07	2.333803218512244057e+05
4.120000000000000364e-07	2.446496352698705450e+05
4.130000000000000057e-07	2.663635599700260209e+05
4.140000000000000279e-07	2.998238284245344694e+05
4.150000000000000500e-07	3.412428960530640325e+05
4.160000000000000193e-07	3.516365782726224861e+05
4.170000000000000415e-07	3.984519155085434904e+05
4.180000000000000107e-07	4.469758701292454498e+05
4.190000000000000329e-07	5.085793432258626563e+05
4.200000000000000022e-07	5.743611557573709870e+05
4.210000000000000244e-07	6.468816857594841858e+05
4.220000000000000465e-07	7.195939292214335874e+05
4.230000000000000158e-07	8.115997295623190003e+05
4.240000000000000380e-07	9.047611110445316881e+05
4.250000000000000072e-07	1.003229701132749091e+06
