375.000000	1.728344	0.171078
376.000000	1.723248	0.168673
377.000000	1.718229	0.166359
378.000000	1.713279	0.164130
379.000000	1.708394	0.161983
380.000000	1.703568	0.159914
381.000000	1.698794	0.157920
382.000000	1.694068	0.156001
383.000000	1.689384	0.154154
384.000000	1.684738	0.152378
385.000000	1.680126	0.150674
386.000000	1.675543	0.149040
387.000000	1.670986	0.147479
388.000000	1.666452	0.145991
389.000000	1.661937	0.144577
390.000000	1.657440	0.143238
391.000000	1.652958	0.141978
392.000000	1.648490	0.140797
393.000000	1.644036	0.139699
394.000000	1.639594	0.138685
395.000000	1.635164	0.137760
396.000000	1.630748	0.136924
397.000000	1.626346	0.136181
398.000000	1.621960	0.135534
399.000000	1.617592	0.134985
400.000000	1.613243	0.134537
401.000000	1.608918	0.134191
402.000000	1.604620	0.133951
403.000000	1.600352	0.133818
404.000000	1.596119	0.133793
405.000000	1.591926	0.133877
406.000000	1.587777	0.134072
407.000000	1.583678	0.134377
408.000000	1.579635	0.134792
409.000000	1.575653	0.135317
410.000000	1.571739	0.135950
411.000000	1.567898	0.136689
412.000000	1.564136	0.137531
413.000000	1.560459	0.138474
414.000000	1.556875	0.139514
415.000000	1.553387	0.140645
416.000000	1.550002	0.141864
417.000000	1.546725	0.143165
418.000000	1.543560	0.144542
419.000000	1.540512	0.145988
420.000000	1.537585	0.147495
421.000000	1.534782	0.149058
422.000000	1.532106	0.150667
423.000000	1.529559	0.152315
424.000000	1.527142	0.153994
425.000000	1.524855	0.155695
426.000000	1.522700	0.157409
427.000000	1.520675	0.159129
428.000000	1.518779	0.160846
429.000000	1.517010	0.162551
430.000000	1.515366	0.164237
431.000000	1.513843	0.165896
432.000000	1.512438	0.167519
433.000000	1.511145	0.169101
434.000000	1.509962	0.170633
435.000000	1.508881	0.172111
436.000000	1.507898	0.173526
437.000000	1.507007	0.174875
438.000000	1.506200	0.176152
439.000000	1.505472	0.177353
440.000000	1.504815	0.178472
441.000000	1.504222	0.179508
442.000000	1.503685	0.180457
443.000000	1.503198	0.181315
444.000000	1.502752	0.182083
445.000000	1.502339	0.182757
446.000000	1.501952	0.183338
447.000000	1.501584	0.183825
448.000000	1.501225	0.184219
449.000000	1.500869	0.184520
450.000000	1.500508	0.184729
451.000000	1.500134	0.184850
452.000000	1.499741	0.184883
453.000000	1.499321	0.184834
454.000000	1.498867	0.184704
455.000000	1.498374	0.184498
456.000000	1.497835	0.184220
457.000000	1.497245	0.183876
458.000000	1.496598	0.183471
459.000000	1.495890	0.183010
460.000000	1.495116	0.182500
461.000000	1.494274	0.181946
462.000000	1.493359	0.181356
463.000000	1.492370	0.180735
464.000000	1.491304	0.180091
465.000000	1.490161	0.179430
466.000000	1.488939	0.178759
467.000000	1.487638	0.178085
468.000000	1.486259	0.177414
469.000000	1.484801	0.176753
470.000000	1.483268	0.176107
471.000000	1.481660	0.175484
472.000000	1.479980	0.174888
473.000000	1.478230	0.174324
474.000000	1.476414	0.173799
475.000000	1.474535	0.173316
476.000000	1.472596	0.172880
477.000000	1.470601	0.172494
478.000000	1.468554	0.172162
479.000000	1.466459	0.171888
480.000000	1.464320	0.171673
481.000000	1.462143	0.171520
482.000000	1.459931	0.171432
483.000000	1.457687	0.171408
484.000000	1.455418	0.171451
485.000000	1.453127	0.171562
486.000000	1.450817	0.171740
487.000000	1.448494	0.171986
488.000000	1.446161	0.172301
489.000000	1.443822	0.172683
490.000000	1.441479	0.173131
491.000000	1.439138	0.173646
492.000000	1.436800	0.174227
493.000000	1.434469	0.174871
494.000000	1.432148	0.175578
495.000000	1.429840	0.176346
496.000000	1.427548	0.177174
497.000000	1.425272	0.178060
498.000000	1.423015	0.179002
499.000000	1.420781	0.179999
500.000000	1.418569	0.181048
501.000000	1.416382	0.182148
502.000000	1.414220	0.183297
503.000000	1.412086	0.184494
504.000000	1.409980	0.185735
505.000000	1.407904	0.187020
506.000000	1.405857	0.188346
507.000000	1.403840	0.189712
508.000000	1.401855	0.191116
509.000000	1.399901	0.192556
510.000000	1.397978	0.194030
511.000000	1.396086	0.195538
512.000000	1.394227	0.197076
513.000000	1.392399	0.198645
514.000000	1.390602	0.200242
515.000000	1.388836	0.201867
516.000000	1.387101	0.203517
517.000000	1.385396	0.205192
518.000000	1.383721	0.206891
519.000000	1.382075	0.208612
520.000000	1.380458	0.210355
521.000000	1.378869	0.212119
522.000000	1.377307	0.213903
523.000000	1.375772	0.215707
524.000000	1.374263	0.217529
525.000000	1.372780	0.219369
526.000000	1.371321	0.221228
527.000000	1.369885	0.223104
528.000000	1.368473	0.224997
529.000000	1.367083	0.226907
530.000000	1.365714	0.228834
531.000000	1.364366	0.230778
532.000000	1.363038	0.232739
533.000000	1.361729	0.234717
534.000000	1.360438	0.236712
535.000000	1.359165	0.238726
536.000000	1.357909	0.240757
537.000000	1.356670	0.242806
538.000000	1.355446	0.244874
539.000000	1.354238	0.246962
540.000000	1.353044	0.249070
541.000000	1.351866	0.251199
542.000000	1.350700	0.253349
543.000000	1.349549	0.255522
544.000000	1.348411	0.257718
545.000000	1.347286	0.259938
546.000000	1.346174	0.262183
