lambda	I
3.000000000000000394e-07	6.032200726604597876e+05
3.010000000000000086e-07	5.610527973387021339e+05
3.020000000000000308e-07	5.401628202542394865e+05
3.030000000000000001e-07	5.643960095876186388e+05
3.040000000000000222e-07	5.780982393258585362e+05
3.050000000000000444e-07	5.212098547993062530e+05
3.060000000000000137e-07	5.414287488511917181e+05
3.070000000000000359e-07	6.759521709014535882e+05
3.080000000000000051e-07	6.113647289698588429e+05
3.090000000000000273e-07	5.799068206170846242e+05
3.099999999999999966e-07	5.437166224807269173e+05
3.110000000000000187e-07	6.268077968554210383e+05
3.120000000000000409e-07	5.913124694690308534e+05
3.130000000000000102e-07	6.949282700611655600e+05
3.140000000000000324e-07	4.892204624524853425e+05
3.150000000000000016e-07	5.460005497786900960e+05
3.160000000000000238e-07	5.177396373046024819e+05
3.170000000000000460e-07	5.747538752914834768e+05
3.180000000000000153e-07	5.807792440215508686e+05
3.190000000000000374e-07	4.824303085076053976e+05
3.200000000000000067e-07	3.879316861083811382e+05
3.210000000000000289e-07	3.913832836656193831e+05
3.219999999999999981e-07	4.451743195791147882e+05
3.230000000000000203e-07	4.428590959599891212e+05
3.240000000000000425e-07	4.864904731975542963e+05
3.250000000000000118e-07	5.056987376000995282e+05
3.260000000000000340e-07	4.414937237588853459e+05
3.270000000000000032e-07	4.439618007343485369e+05
3.280000000000000254e-07	3.663697500694101909e+05
3.289999999999999946e-07	4.880344947649748065e+05
3.300000000000000168e-07	4.750321115043829195e+05
3.310000000000000390e-07	5.139037439211285091e+05
3.320000000000000083e-07	4.621324350044471212e+05
3.330000000000000305e-07	3.834297295323255821e+05
3.339999999999999997e-07	3.950921998394429102e+05
3.350000000000000219e-07	3.915346442847019644e+05
3.360000000000000441e-07	4.854831853884377633e+05
3.370000000000000133e-07	3.813271563072114950e+05
3.380000000000000355e-07	3.620434763113022782e+05
3.390000000000000048e-07	4.335975840942431823e+05
3.400000000000000270e-07	3.214328148736081785e+05
3.409999999999999962e-07	4.298820672036751639e+05
3.420000000000000184e-07	4.038865577028077096e+05
3.430000000000000406e-07	4.407200942367154639e+05
3.440000000000000098e-07	4.243311631559150992e+05
3.450000000000000320e-07	5.010896887752622133e+05
3.460000000000000013e-07	3.966045663231377257e+05
3.470000000000000235e-07	3.486197907693372108e+05
3.480000000000000457e-07	3.794312867364704725e+05
3.490000000000000149e-07	2.667233115858647507e+05
3.500000000000000371e-07	3.678759507078357274e+05
3.510000000000000064e-07	3.696558812942224322e+05
3.520000000000000285e-07	3.707940025759139680e+05
3.529999999999999978e-07	4.346073308422035770e+05
3.540000000000000200e-07	4.507305018036223482e+05
3.550000000000000422e-07	4.673090011458689114e+05
3.560000000000000114e-07	4.648035159388019238e+05
3.570000000000000336e-07	4.722751459149849252e+05
3.580000000000000029e-07	4.591999858874441707e+05
3.590000000000000250e-07	4.379378393928126898e+05
3.600000000000000472e-07	4.777731507494664402e+05
3.610000000000000165e-07	5.128775489785118843e+05
3.620000000000000387e-07	4.635982518248253036e+05
3.630000000000000079e-07	3.877314802691038349e+05
3.640000000000000301e-07	5.137192952923280536e+05
3.649999999999999994e-07	5.216377766732178279e+05
3.660000000000000216e-07	4.986625077692861087e+05
3.670000000000000437e-07	5.231852961940557580e+05
3.680000000000000130e-07	5.264865124207084300e+05
3.690000000000000352e-07	4.856766545309968060e+05
3.700000000000000044e-07	4.925087491835519904e+05
3.710000000000000266e-07	5.546570850430499995e+05
3.720000000000000488e-07	4.647194328291022684e+05
3.730000000000000181e-07	4.818194290413966519e+05
3.740000000000000403e-07	4.459866908078492270e+05
3.750000000000000095e-07	4.849694915369091323e+05
3.760000000000000317e-07	4.115106031384741073e+05
3.770000000000000009e-07	5.278728271027916344e+05
3.780000000000000231e-07	5.256369733332856558e+05
3.790000000000000453e-07	5.482716308240890503e+05
3.800000000000000146e-07	4.089103835167806246e+05
3.810000000000000368e-07	5.301472172887327615e+05
3.820000000000000060e-07	4.588855636115230736e+05
3.830000000000000282e-07	4.843088683221315150e+05
3.840000000000000504e-07	5.103423733658259735e+05
3.850000000000000196e-07	5.136106338092110236e+05
3.860000000000000418e-07	4.681321737066977657e+05
3.870000000000000111e-07	4.702576458083767211e+05
3.880000000000000333e-07	5.075997349890868063e+05
3.890000000000000025e-07	5.209254858646750799e+05
3.900000000000000247e-07	4.650680473320193123e+05
