lambda	I
3.000000000000000394e-07	1.244972291416745167e+06
3.010000000000000086e-07	8.722061276712785475e+05
3.020000000000000308e-07	1.328588882762523834e+06
3.030000000000000001e-07	1.260249314885295928e+06
3.040000000000000222e-07	1.353638401353397639e+06
3.050000000000000444e-07	1.417748524298342876e+06
3.060000000000000137e-07	1.083564775877683889e+06
3.070000000000000359e-07	1.283521834793674294e+06
3.080000000000000051e-07	1.339367354948292952e+06
3.090000000000000273e-07	1.236503813920437824e+06
3.099999999999999966e-07	1.110919414492109092e+06
3.110000000000000187e-07	1.082362766243592836e+06
3.120000000000000409e-07	1.106397892186428886e+06
3.130000000000000102e-07	1.238757495369378710e+06
3.140000000000000324e-07	1.103195459865459474e+06
3.150000000000000016e-07	1.247944726823850069e+06
3.160000000000000238e-07	1.053426367274198448e+06
3.170000000000000460e-07	1.166322500771364663e+06
3.180000000000000153e-07	1.186201141689040698e+06
3.190000000000000374e-07	1.137667150594116189e+06
3.200000000000000067e-07	1.027322192941892077e+06
3.210000000000000289e-07	1.065390050951252459e+06
3.219999999999999981e-07	1.141279091112568509e+06
3.230000000000000203e-07	8.719340658694520826e+05
3.240000000000000425e-07	9.565700186608530348e+05
3.250000000000000118e-07	1.092649235052521108e+06
3.260000000000000340e-07	1.216554193871106021e+06
3.270000000000000032e-07	1.128317417069660267e+06
3.280000000000000254e-07	1.161198810541562969e+06
3.289999999999999946e-07	1.190160555925295921e+06
3.300000000000000168e-07	1.032937837390849018e+06
3.310000000000000390e-07	1.088097148296989501e+06
3.320000000000000083e-07	1.144949891141547589e+06
3.330000000000000305e-07	1.102050798721853644e+06
3.339999999999999997e-07	1.166930221150899539e+06
3.350000000000000219e-07	1.173336431682660244e+06
3.360000000000000441e-07	1.148403357434991747e+06
3.370000000000000133e-07	1.230083939798982814e+06
3.380000000000000355e-07	1.037508888664935832e+06
3.390000000000000048e-07	1.081168417626615614e+06
3.400000000000000270e-07	9.915134146241113776e+05
3.409999999999999962e-07	9.475458622246569721e+05
3.420000000000000184e-07	9.102772142682503909e+05
3.430000000000000406e-07	1.000331752497572801e+06
3.440000000000000098e-07	1.012728030876906356e+06
3.450000000000000320e-07	7.599455475992523134e+05
3.460000000000000013e-07	8.577925889495835872e+05
3.470000000000000235e-07	8.762375279787427280e+05
3.480000000000000457e-07	9.126591897035576403e+05
3.490000000000000149e-07	1.000953073043356650e+06
3.500000000000000371e-07	8.735980127920346567e+05
3.510000000000000064e-07	9.482003036622665823e+05
3.520000000000000285e-07	9.795503432187685976e+05
3.529999999999999978e-07	9.802454313586871140e+05
3.540000000000000200e-07	1.099456752684608102e+06
3.550000000000000422e-07	1.083228175547806546e+06
3.560000000000000114e-07	1.104651001152740559e+06
3.570000000000000336e-07	1.237539000278148334e+06
3.580000000000000029e-07	9.834862578797735041e+05
3.590000000000000250e-07	1.197384686813695589e+06
3.600000000000000472e-07	1.073087275930546923e+06
3.610000000000000165e-07	1.070837672443652991e+06
3.620000000000000387e-07	1.041620126318539609e+06
3.630000000000000079e-07	1.062234398607724113e+06
3.640000000000000301e-07	1.319130820801073918e+06
3.649999999999999994e-07	1.228928118180336198e+06
3.660000000000000216e-07	1.226269526143820025e+06
3.670000000000000437e-07	1.304883881734072231e+06
3.680000000000000130e-07	1.123416991978067439e+06
3.690000000000000352e-07	1.173966159433024237e+06
3.700000000000000044e-07	1.275880350544124143e+06
3.710000000000000266e-07	1.075213720076648751e+06
3.720000000000000488e-07	1.183346987898896914e+06
3.730000000000000181e-07	1.052591694600344868e+06
3.740000000000000403e-07	1.051015980616404442e+06
3.750000000000000095e-07	1.272004875773796113e+06
3.760000000000000317e-07	1.022643351178844459e+06
3.770000000000000009e-07	1.001831603738099337e+06
3.780000000000000231e-07	1.063917548644446069e+06
3.790000000000000453e-07	1.169691218868926866e+06
3.800000000000000146e-07	1.041727405824213289e+06
3.810000000000000368e-07	1.194890769373328192e+06
3.820000000000000060e-07	1.146808639622975606e+06
3.830000000000000282e-07	1.051177612080153544e+06
3.840000000000000504e-07	1.119468591892373515e+06
3.850000000000000196e-07	1.216282169659542385e+06
3.860000000000000418e-07	1.235256728818237316e+06
3.870000000000000111e-07	1.121756825901797973e+06
3.880000000000000333e-07	1.018546286763689830e+06
3.890000000000000025e-07	1.170104871391910128e+06
3.900000000000000247e-07	1.125399037501841318e+06
3.910000000000000469e-07	1.136808453815765679e+06
3.920000000000000161e-07	1.144571070436548674e+06
3.930000000000000383e-07	1.082387765287240501e+06
3.940000000000000076e-07	1.161681084276694804e+06
3.950000000000000298e-07	1.239750457696161000e+06
3.959999999999999990e-07	1.306162189720693976e+06
3.970000000000000212e-07	1.337589484818753321e+06
3.980000000000000434e-07	1.305063131623323774e+06
3.990000000000000126e-07	1.345263646484299330e+06
4.000000000000000348e-07	1.399091356984056300e+06
4.010000000000000041e-07	1.380518175771142589e+06
4.020000000000000263e-07	1.465805376751171891e+06
4.030000000000000485e-07	1.459798544450682588e+06
4.040000000000000177e-07	1.725744723515688442e+06
4.050000000000000399e-07	1.886655712922192644e+06
4.060000000000000092e-07	1.783299594618348870e+06
4.070000000000000313e-07	1.939477453524760436e+06
4.080000000000000006e-07	2.128461116557873785e+06
4.090000000000000228e-07	2.077699588036002358e+06
4.100000000000000450e-07	2.309487315216048621e+06
4.110000000000000142e-07	2.801422850985771511e+06
4.120000000000000364e-07	2.920090400998453610e+06
4.130000000000000057e-07	3.239733610715155955e+06
4.140000000000000279e-07	3.653555111092111561e+06
4.150000000000000500e-07	4.084758647176614497e+06
4.160000000000000193e-07	4.534371803624485619e+06
4.170000000000000415e-07	5.035084682562187314e+06
4.180000000000000107e-07	5.461485622963850386e+06
4.190000000000000329e-07	6.147729458289913833e+06
4.200000000000000022e-07	7.086450852501931600e+06
4.210000000000000244e-07	8.073936192021463066e+06
4.220000000000000465e-07	8.973150490042230114e+06
4.230000000000000158e-07	9.943306489562781528e+06
4.240000000000000380e-07	1.128658795492037199e+07
4.250000000000000072e-07	1.245727170396673307e+07
4.260000000000000294e-07	1.404391520617281459e+07
4.270000000000000516e-07	1.571196476572982222e+07
4.280000000000000209e-07	1.757287683482995629e+07
4.290000000000000431e-07	1.976638470827078447e+07
4.300000000000000123e-07	2.197979375120649114e+07
4.310000000000000345e-07	2.437689861341585219e+07
4.320000000000000037e-07	2.687701180309440196e+07
4.330000000000000259e-07	2.991902717122133821e+07
4.340000000000000481e-07	3.294174184342259914e+07
4.350000000000000174e-07	3.639585301271566749e+07
4.360000000000000396e-07	4.018961807023343444e+07
4.370000000000000088e-07	4.448816158781757951e+07
4.380000000000000310e-07	4.971793104177859426e+07
4.390000000000000532e-07	5.529584510756902397e+07
4.400000000000000224e-07	6.193065528434239328e+07
4.410000000000000446e-07	6.983685415765583515e+07
4.420000000000000139e-07	8.008484941080273688e+07
4.430000000000000361e-07	9.233224412229530513e+07
4.440000000000000053e-07	1.067220965703530610e+08
4.450000000000000275e-07	1.234468341119473428e+08
4.460000000000000497e-07	1.419862891923164129e+08
4.470000000000000189e-07	1.625793332432087362e+08
4.480000000000000411e-07	1.836138374662835002e+08
4.490000000000000104e-07	2.039652216528756022e+08
4.500000000000000326e-07	2.240515598066363931e+08
4.510000000000000018e-07	2.387975244646602273e+08
4.520000000000000240e-07	2.506225094667155445e+08
4.530000000000000462e-07	2.571869728898296058e+08
4.540000000000000155e-07	2.549962293019348383e+08
4.550000000000000376e-07	2.472549580353343487e+08
4.560000000000000069e-07	2.362649795301372707e+08
4.570000000000000291e-07	2.194353604269045591e+08
4.580000000000000513e-07	2.034337638417115808e+08
4.590000000000000205e-07	1.873850936403565705e+08
4.600000000000000427e-07	1.738080616516909897e+08
4.610000000000000120e-07	1.621874831975569725e+08
4.620000000000000342e-07	1.556929092300508320e+08
4.630000000000000034e-07	1.522290693277693987e+08
4.640000000000000256e-07	1.500146444271850884e+08
4.650000000000000478e-07	1.497306308407230377e+08
4.660000000000000170e-07	1.505730891082004309e+08
4.670000000000000392e-07	1.503527730578988492e+08
4.680000000000000085e-07	1.492831196170886755e+08
4.690000000000000307e-07	1.478568056413256228e+08
4.700000000000000528e-07	1.443762874376177788e+08
4.710000000000000221e-07	1.402357503190460205e+08
4.720000000000000443e-07	1.351940870788993239e+08
4.730000000000000135e-07	1.300999594584992528e+08
4.740000000000000357e-07	1.256888505045828670e+08
4.750000000000000050e-07	1.222616868600824177e+08
4.760000000000000272e-07	1.202201992089609504e+08
4.770000000000000494e-07	1.190921483993974179e+08
4.780000000000000186e-07	1.192525982278495133e+08
4.789999999999999879e-07	1.208905704771020114e+08
4.800000000000000630e-07	1.240149834888645858e+08
4.810000000000000322e-07	1.273155194995159209e+08
4.820000000000000015e-07	1.313065928114060760e+08
4.830000000000000766e-07	1.363930761192286909e+08
4.840000000000000459e-07	1.409556249148406684e+08
4.850000000000000151e-07	1.457016206569482088e+08
