x	G_ehp
0.000000000000000000e+00	8.138394999999999663e+27
1.250000000000000026e-09	8.036323000000000027e+27
2.500000000000000052e-09	7.902816000000000390e+27
3.749999999999999665e-09	7.772345000000000082e+27
5.000000000000000105e-09	7.644832000000000520e+27
6.249999999999999717e-09	7.520193999999999673e+27
7.499999999999999330e-09	7.398353000000000057e+27
8.750000000000000597e-09	7.279228000000000141e+27
1.000000000000000021e-08	7.162739999999999992e+27
1.124999999999999982e-08	7.048810999999999928e+27
1.249999999999999943e-08	6.937363000000000265e+27
1.375000000000000070e-08	6.828318000000000220e+27
1.499999999999999866e-08	6.721599999999999512e+27
1.624999999999999993e-08	6.617131999999999806e+27
1.750000000000000119e-08	6.514838999999999969e+27
1.874999999999999915e-08	6.414647000000000217e+27
2.000000000000000042e-08	6.316481000000000518e+27
2.124999999999999838e-08	6.220268000000000237e+27
2.249999999999999964e-08	6.125937999999999490e+27
2.375000000000000091e-08	6.033417999999999842e+27
2.499999999999999887e-08	5.942638999999999460e+27
2.625000000000000014e-08	5.853531999999999808e+27
2.750000000000000140e-08	5.766028000000000152e+27
2.874999999999999936e-08	5.680061000000000506e+27
2.999999999999999732e-08	5.595567000000000284e+27
3.124999999999999859e-08	5.512479999999999502e+27
3.249999999999999985e-08	5.430739000000000521e+27
3.375000000000000112e-08	5.350280999999999708e+27
3.500000000000000239e-08	5.271046999999999923e+27
3.624999999999999704e-08	5.192980000000000131e+27
3.749999999999999830e-08	5.116020999999999894e+27
3.874999999999999957e-08	5.040116000000000023e+27
4.000000000000000084e-08	4.965211000000000232e+27
4.125000000000000210e-08	4.891256000000000131e+27
4.249999999999999675e-08	4.818198999999999931e+27
4.374999999999999802e-08	4.745992999999999993e+27
4.499999999999999929e-08	4.674591000000000127e+27
4.625000000000000055e-08	4.603950000000000043e+27
4.750000000000000182e-08	4.534025000000000051e+27
4.875000000000000309e-08	4.464779000000000258e+27
4.999999999999999774e-08	4.396170000000000075e+27
5.124999999999999900e-08	4.328163999999999809e+27
5.250000000000000027e-08	4.260726999999999767e+27
5.375000000000000154e-08	4.193824000000000006e+27
5.500000000000000281e-08	4.127427999999999834e+27
5.624999999999999745e-08	4.061509000000000006e+27
5.749999999999999872e-08	3.996041999999999778e+27
5.874999999999999999e-08	3.931002999999999756e+27
5.999999999999999464e-08	3.866369999999999944e+27
6.124999999999999590e-08	3.802125000000000246e+27
6.249999999999999717e-08	3.738248999999999766e+27
6.374999999999999844e-08	3.674727999999999958e+27
6.499999999999999971e-08	3.611550000000000025e+27
6.625000000000000097e-08	3.548702000000000018e+27
6.750000000000000224e-08	3.486178000000000090e+27
6.875000000000000351e-08	3.423969000000000191e+27
7.000000000000000477e-08	3.362072999999999824e+27
7.125000000000000604e-08	3.300484999999999939e+27
7.249999999999999407e-08	3.239206999999999935e+27
7.374999999999999534e-08	3.178240000000000063e+27
7.499999999999999661e-08	3.117586000000000271e+27
7.624999999999999787e-08	3.057252000000000109e+27
7.749999999999999914e-08	2.997245999999999924e+27
7.875000000000000041e-08	2.937574999999999815e+27
8.000000000000000167e-08	2.878251999999999729e+27
8.125000000000000294e-08	2.819288000000000213e+27
8.250000000000000421e-08	2.760698000000000065e+27
8.375000000000000547e-08	2.702497999999999981e+27
8.499999999999999351e-08	2.644704000000000107e+27
8.624999999999999477e-08	2.587335999999999939e+27
8.749999999999999604e-08	2.530412999999999823e+27
8.874999999999999731e-08	2.473957000000000028e+27
8.999999999999999857e-08	2.417989000000000025e+27
9.124999999999999984e-08	2.362534000000000009e+27
9.250000000000000111e-08	2.307615999999999925e+27
9.375000000000000238e-08	2.253259999999999966e+27
9.500000000000000364e-08	2.199493000000000001e+27
9.625000000000000491e-08	2.146340999999999926e+27
9.750000000000000618e-08	2.093832000000000134e+27
9.874999999999999421e-08	2.041993999999999918e+27
9.999999999999999547e-08	1.990854999999999948e+27
1.012499999999999967e-07	1.940445000000000017e+27
1.024999999999999980e-07	1.890791999999999968e+27
1.037499999999999993e-07	1.841925999999999871e+27
1.050000000000000005e-07	1.793873999999999868e+27
1.062500000000000018e-07	1.746668999999999953e+27
1.075000000000000031e-07	1.700337000000000021e+27
1.087500000000000043e-07	1.654909000000000113e+27
1.100000000000000056e-07	1.610411000000000125e+27
1.112499999999999936e-07	1.566871999999999875e+27
1.124999999999999949e-07	1.524319000000000056e+27
1.137499999999999962e-07	1.482778000000000015e+27
1.149999999999999974e-07	1.442276999999999868e+27
1.162499999999999987e-07	1.402837999999999886e+27
1.175000000000000000e-07	1.364486999999999964e+27
1.187500000000000012e-07	1.327247000000000071e+27
1.199999999999999893e-07	1.291137999999999979e+27
1.212500000000000038e-07	1.256182999999999931e+27
1.224999999999999918e-07	1.222399000000000049e+27
1.237500000000000063e-07	1.189805999999999967e+27
1.249999999999999943e-07	1.158418999999999993e+27
1.262500000000000088e-07	1.128253999999999999e+27
1.274999999999999969e-07	1.099323999999999932e+27
1.287500000000000114e-07	1.071640000000000064e+27
1.299999999999999994e-07	1.045212999999999981e+27
1.312499999999999874e-07	1.020051000000000031e+27
1.325000000000000019e-07	9.961596999999999598e+26
1.337499999999999900e-07	9.735442999999999392e+26
1.350000000000000045e-07	9.522069999999999410e+26
1.362499999999999925e-07	9.321487999999999401e+26
1.375000000000000070e-07	9.133681999999999743e+26
1.387499999999999950e-07	8.958619000000000167e+26
1.400000000000000095e-07	8.796245999999999537e+26
1.412499999999999976e-07	8.646489000000000542e+26
1.425000000000000121e-07	8.509252000000000655e+26
1.437500000000000001e-07	8.384420999999999451e+26
1.449999999999999881e-07	8.271859999999999534e+26
1.462500000000000026e-07	8.171412000000000464e+26
1.474999999999999907e-07	8.082899000000000130e+26
1.487500000000000052e-07	8.006124000000000477e+26
1.499999999999999932e-07	7.940869999999999828e+26
1.512500000000000077e-07	7.886899000000000333e+26
1.524999999999999957e-07	7.843953999999999952e+26
1.537500000000000102e-07	7.811758999999999320e+26
1.549999999999999983e-07	7.790019000000000375e+26
1.562500000000000128e-07	7.778421000000000289e+26
1.575000000000000008e-07	7.776633999999999709e+26
1.587499999999999888e-07	7.784309000000000012e+26
1.600000000000000033e-07	7.801080999999999405e+26
1.612499999999999914e-07	7.826570000000000595e+26
1.625000000000000059e-07	7.860382000000000595e+26
1.637499999999999939e-07	7.902102999999999673e+26
1.650000000000000084e-07	7.951310000000000520e+26
1.662499999999999964e-07	8.007566000000000134e+26
1.675000000000000109e-07	8.070423000000000463e+26
1.687499999999999990e-07	8.139419999999999936e+26
1.699999999999999870e-07	8.214088999999999630e+26
1.712500000000000015e-07	8.293951000000000075e+26
1.724999999999999895e-07	8.378520999999999755e+26
1.737500000000000040e-07	8.467302999999999354e+26
1.749999999999999921e-07	8.559795999999999682e+26
1.762500000000000066e-07	8.655496000000000526e+26
1.774999999999999946e-07	8.753894999999999849e+26
1.787500000000000091e-07	8.854479999999999864e+26
1.799999999999999971e-07	8.956740999999999683e+26
1.812500000000000117e-07	9.060163999999999345e+26
1.824999999999999997e-07	9.164235000000000263e+26
1.837499999999999877e-07	9.268444000000000177e+26
1.850000000000000022e-07	9.372284000000000597e+26
1.862499999999999902e-07	9.475253000000000159e+26
1.875000000000000048e-07	9.576851000000000475e+26
1.887499999999999928e-07	9.676586999999999352e+26
1.900000000000000073e-07	9.773979000000000422e+26
1.912499999999999953e-07	9.868553999999999391e+26
1.925000000000000098e-07	9.959843000000000660e+26
1.937499999999999978e-07	1.004738999999999978e+27
1.950000000000000124e-07	1.013075999999999948e+27
1.962500000000000004e-07	1.020951999999999994e+27
1.974999999999999884e-07	1.028326000000000051e+27
1.987500000000000029e-07	1.035157000000000054e+27
1.999999999999999909e-07	1.041406999999999997e+27
2.012500000000000055e-07	1.047039999999999965e+27
2.024999999999999935e-07	1.052021000000000013e+27
2.037500000000000080e-07	1.056316000000000039e+27
2.049999999999999960e-07	1.059894999999999973e+27
2.062500000000000105e-07	1.062728999999999996e+27
2.074999999999999986e-07	1.064789999999999991e+27
2.087500000000000131e-07	1.066054999999999986e+27
2.100000000000000011e-07	1.066500000000000038e+27
2.112499999999999891e-07	1.066103999999999988e+27
2.125000000000000036e-07	1.064851999999999940e+27
2.137499999999999917e-07	1.062725999999999935e+27
2.150000000000000062e-07	1.059713000000000026e+27
2.162499999999999942e-07	1.055804000000000027e+27
2.175000000000000087e-07	1.050990000000000029e+27
2.187499999999999967e-07	1.045263999999999932e+27
2.200000000000000112e-07	1.038625000000000037e+27
2.212499999999999993e-07	1.031070999999999982e+27
2.224999999999999873e-07	1.022604999999999966e+27
2.237500000000000018e-07	1.013230000000000051e+27
2.249999999999999898e-07	1.002954000000000035e+27
2.262500000000000043e-07	9.917862999999999316e+26
2.274999999999999924e-07	9.797388999999999873e+26
2.287500000000000069e-07	9.668262999999999742e+26
2.299999999999999949e-07	9.530652000000000488e+26
2.312500000000000094e-07	9.384750000000000516e+26
2.324999999999999974e-07	9.230774000000000129e+26
2.337500000000000119e-07	9.068961000000000500e+26
2.350000000000000000e-07	8.899572999999999420e+26
2.362499999999999880e-07	8.722894999999999327e+26
2.375000000000000025e-07	8.539230000000000553e+26
2.387499999999999905e-07	8.348903999999999827e+26
2.399999999999999786e-07	8.152260000000000597e+26
2.412500000000000195e-07	7.949661999999999734e+26
2.425000000000000076e-07	7.741490999999999453e+26
2.437499999999999956e-07	7.528145000000000440e+26
2.449999999999999836e-07	7.310037999999999681e+26
2.462500000000000246e-07	7.087600000000000078e+26
