trial_num,sclc_error,jvi_error,d_sclc,W_L,W_R_sclc,mu_e,E_d_sh,N_t_sh,N_t_d,W_R,G_frac,l1_k_dir,l1_C_n_bulk,l1_mu_p
225,0.001569405566429619,0.06872168779773347,2.268930987948513e-07,4.286222453994172,4.294536436788213,-15.905049104422233,4.326835959190646,54.17035258812112,49.12737487040701,5.368061648379226,0.5499078545886388,1.7490707028484753e-15,5.455086298408068e-15,9.292937437815416e-07
297,0.017324448602572862,0.028749194832536816,2.2671484062516988e-07,4.352808127227207,4.372157058805627,-16.021935751696777,4.336691808344156,53.15365868139563,47.20047908540459,5.240641127537479,0.5175989101887631,1.0852023009491034e-16,3.278231144780836e-17,1.8179694771433678e-07
376,0.07783388870288163,0.017034944762776484,2.2671484062516988e-07,4.383352943815828,4.294536436788213,-14.128096250676283,4.312516402857541,53.15365868139563,48.80273600031993,5.279814813441081,0.5175989101887631,3.479662516714764e-17,3.278231144780836e-17,7.88118573397999e-07
383,0.017330464620894073,0.024661108232100215,2.266989890288532e-07,4.352808127227207,4.372157058805627,-16.021935751696777,4.336691808344156,53.15365868139563,47.20047908540459,5.240641127537479,0.5175989101887631,1.3118632880906456e-17,3.278231144780836e-17,1.8179694771433678e-07
390,0.0051878712839958235,0.0413772703203391,2.2076664693806265e-07,4.310408530797141,4.2086606315589625,-15.077263166794909,4.392088001878285,53.15365868139563,49.12737487040701,5.274953766665707,0.5175989101887631,3.6148060047655427e-16,5.0786092016951566e-17,7.88118573397999e-07
394,0.024635904725017532,0.023504211260205233,2.2671484062516988e-07,4.383352943815828,4.294536436788213,-15.21380242640881,4.312516402857541,54.65706604644025,48.504941598592,5.279814813441081,0.5175989101887631,3.479662516714764e-17,3.278231144780836e-17,1.2329687117296646e-07
449,0.0071084713145100524,0.03128174134114685,2.2076664693806265e-07,4.352808127227207,4.294536436788213,-15.905049104422233,4.336691808344156,53.15365868139563,49.61667162947525,5.286172649376548,0.5175989101887631,2.5421839953759326e-16,3.278231144780836e-17,7.88118573397999e-07
469,0.010979251194446505,0.030280228885882263,2.2671484062516988e-07,4.383352943815828,4.279485145762629,-15.905049104422233,4.312516402857541,54.65706604644025,47.20047908540459,5.368061648379226,0.5175989101887631,2.0824746160111814e-16,5.455086298408068e-15,1.2329687117296646e-07
478,0.005614774229555163,0.04015009329338789,2.2671484062516988e-07,4.227859377520785,4.294536436788213,-17.900453001680354,4.23428609278026,53.736839802706214,47.96680096065544,5.395832831826843,0.5195756181963678,2.0824746160111814e-16,4.4922253502956583e-17,2.973045516211501e-07
490,0.0032070382915714104,0.04174928008955064,2.214434058256006e-07,4.286222453994172,4.279485145762629,-15.077263166794909,4.392088001878285,53.15365868139563,48.80273600031993,5.274953766665707,0.5175989101887631,6.168949814356987e-16,4.0243984753937157e-16,7.88118573397999e-07
496,0.032119445032774016,0.0217767535203988,2.2601061694678593e-07,4.352808127227207,4.4995329895073315,-15.077263166794909,4.336691808344156,53.15365868139563,49.12737487040701,5.240641127537479,0.5175989101887631,9.14899902895369e-17,5.0786092016951566e-17,1.8179694771433678e-07
498,0.007600693159264124,0.03093161562178846,2.227912437004051e-07,4.383352943815828,4.279485145762629,-15.905049104422233,4.326835959190646,54.4266033873052,47.20047908540459,5.368061648379226,0.5175989101887631,2.0824746160111814e-16,5.455086298408068e-15,1.2329687117296646e-07
