number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.013818571395833246,0.03989449337464324,2026-03-13 14:32:51.780626,2026-03-13 14:32:53.476180,0 days 00:00:01.695554,4.45437723,0.5,49.0968972,50.6571255,4.4,5.35,4.44761831,2.24e-07,1e-16,1e-17,1e-07,-14.7261256,,"{'d_sclc': 2.24e-07, 'W_L': 4.4, 'W_R_sclc': 4.44761831, 'mu_e': -14.7261256, 'E_d_sh': 4.45437723, 'N_t_sh': 50.6571255, 'N_t_d': 49.0968972, 'W_R': 5.35, 'G_frac': 0.5, 'l1_k_dir': 1e-17, 'l1_C_n_bulk': 1e-16, 'l1_mu_p': 1e-07}",COMPLETE
1,0.0873402158481896,0.06443526516197104,2026-03-13 14:32:53.477178,2026-03-13 14:32:54.242859,0 days 00:00:00.765681,4.30972721155368,0.5237891071666283,48.98002134625555,52.538342902762494,4.2571862684510515,5.2376691392497365,4.204320666602163,2.2254830576412132e-07,5.958260032281904e-17,6.831600273124026e-18,3.503415899758658e-08,-14.51565871536251,0.0,,COMPLETE
2,0.015894722000702653,0.19005573883326857,2026-03-13 14:32:54.242859,2026-03-13 14:32:54.997339,0 days 00:00:00.754480,4.36623416305104,0.6606704270736421,46.114481588882924,51.39165342699012,4.446061212642695,5.364311519445902,4.341700705300996,2.2145074127159357e-07,5.867237932244897e-17,4.2961009180581285e-15,2.248952644611453e-07,-16.258507405837435,0.0,,COMPLETE
3,,,2026-03-13 14:32:54.998335,2026-03-13 14:32:55.047171,0 days 00:00:00.048836,4.29302879193597,0.5421554206599707,46.27851529600392,53.091019003737536,4.491978899439645,5.326485306450749,4.475993949789783,2.21868778638655e-07,1.8420965982536598e-18,2.422598302961557e-18,9.243973381268331e-08,-18.329928846181634,0.0,,PRUNED
4,0.06854405403733865,0.15305487212871197,2026-03-13 14:32:55.048168,2026-03-13 14:32:55.755440,0 days 00:00:00.707272,4.284971706067224,0.5527841872051916,47.872337630986024,51.460633078743314,4.331799542648207,5.436568838590454,4.469717567051591,2.2242798986672736e-07,3.1311168117051493e-16,2.2531526866869884e-17,4.0384031663862777e-07,-13.89407136898919,0.0,,COMPLETE
5,0.009636746904114755,0.4178373581797942,2026-03-13 14:32:55.757434,2026-03-13 14:32:56.583312,0 days 00:00:00.825878,4.2421865548822275,0.8267520212462924,46.73851453005657,53.62081964031924,4.383352943815828,5.364157893703739,4.260775282009671,2.2519111770671143e-07,4.0243984753937157e-16,2.0824746160111814e-16,1.2502087500896067e-07,-17.468822515596663,0.0,,COMPLETE
6,,,2026-03-13 14:32:56.584309,2026-03-13 14:32:56.631661,0 days 00:00:00.047352,4.225793280278706,0.6847327989714215,50.489564947958755,54.541271071312586,4.274078264385645,5.422129070092147,4.427592792870042,2.2361865639708453e-07,5.63196364350519e-17,9.283524573527067e-18,1.1019715022954125e-08,-15.876652910534624,0.0,,PRUNED
7,0.03264803447443355,0.3695105759013377,2026-03-13 14:32:56.631661,2026-03-13 14:32:57.447972,0 days 00:00:00.816311,4.328740624693743,0.7000636219256081,47.54933718204958,52.28386198531452,4.4993034129015275,5.2184441106200445,4.2810980092095665,2.2107668906162993e-07,4.293062506930646e-15,5.2431293370749835e-17,4.2022496579899604e-08,-16.237341944254553,0.0,,COMPLETE
8,0.028232609804692145,0.26515546391033196,2026-03-13 14:32:57.448970,2026-03-13 14:32:58.436716,0 days 00:00:00.987746,4.399307264094415,0.9751784488314399,46.72386999491716,51.30816070807824,4.336156782921938,5.254222509061746,4.344233257623844,2.2161242237683914e-07,7.656365316069147e-16,3.1397346196939525e-15,3.02364286352851e-07,-17.624803253740037,0.0,,COMPLETE
9,0.06769383464190272,0.7931996889544379,2026-03-13 14:32:58.437713,2026-03-13 14:32:59.502207,0 days 00:00:01.064494,4.478611696114526,0.9181833003280848,46.45532409509138,53.00928010741694,4.20897410875013,5.392728499607704,4.2132213784064785,2.2584840162034064e-07,3.593544846263326e-15,9.389463404141451e-18,1.345432602011898e-08,-14.605886577284423,0.0,,COMPLETE
10,0.0037549120205554454,0.5723791244240117,2026-03-13 14:32:59.503204,2026-03-13 14:33:00.368314,0 days 00:00:00.865110,4.385209068923146,0.8141941871946587,48.80273600031993,53.202617853209155,4.212282873888184,5.309829011964143,4.372600471938108,2.214434058256006e-07,5.602724756054881e-16,2.8485497603142457e-16,1.2329687117296646e-07,-15.22091995193052,0.0,,COMPLETE
11,,,2026-03-13 14:33:00.369311,2026-03-13 14:33:00.416157,0 days 00:00:00.046846,4.424876194664406,0.5829734082981677,50.01684121670715,54.11267737207832,4.491141053497542,5.458132662443613,4.285678021154305,2.207097654085181e-07,3.008814684068091e-18,6.31315944160148e-16,2.1430182225574712e-07,-17.990253768960073,0.0,,PRUNED
12,0.01566254487571247,0.6947317617632145,2026-03-13 14:33:00.417153,2026-03-13 14:33:01.222501,0 days 00:00:00.805348,4.448520033477711,0.8639354811876432,48.64688379941393,51.31980314657117,4.3032069161108115,5.4594481601399005,4.441866905343346,2.226484832835027e-07,1.0115683004855969e-16,4.692249895649547e-16,8.943384797369701e-07,-15.121829239922134,0.0,,COMPLETE
13,0.060921473597157876,0.37619429518278147,2026-03-13 14:33:01.223498,2026-03-13 14:33:02.085658,0 days 00:00:00.862160,4.391316964290588,0.8289759286483938,47.155056791833395,51.895537606384686,4.465161586596297,5.332086387382033,4.485027483245396,2.2573798394394707e-07,1.4286956873886197e-18,3.6148060047655427e-16,1.1381673034486673e-07,-16.513345277307323,0.0,,COMPLETE
14,0.007112136499428559,0.47946529203484606,2026-03-13 14:33:02.086656,2026-03-13 14:33:02.912934,0 days 00:00:00.826278,4.23428609278026,0.7679337211814505,47.59050629731089,51.04685540153944,4.392311130585451,5.483278235927521,4.218172061531364,2.2059889661129695e-07,4.4922253502956583e-17,1.2676830728999062e-17,4.4337333528987156e-08,-17.900453001680354,0.0,,COMPLETE
15,0.03363809318072882,0.2828060837181526,2026-03-13 14:33:02.913930,2026-03-13 14:33:03.679493,0 days 00:00:00.765563,4.267966319569979,0.6475333167448952,48.679034003696,54.54266353626017,4.2784980744342445,5.3162455429085815,4.376891696096207,2.2639838167177079e-07,4.0425563139745884e-16,4.5484540647314074e-17,3.986711699118412e-08,-15.89357029908417,0.0,,COMPLETE
16,0.04128574754486441,0.6920361070099126,2026-03-13 14:33:03.679493,2026-03-13 14:33:04.378193,0 days 00:00:00.698700,4.221980685558041,0.8158753836224599,50.306831265330416,50.99274611273581,4.233265369920994,5.398261599752065,4.333754504678478,2.2750772407362305e-07,5.605860784729899e-17,1.7074826065435244e-18,2.2163466330853636e-07,-14.943722656523974,0.0,,COMPLETE
17,0.0937118129113838,0.726335257808526,2026-03-13 14:33:04.379188,2026-03-13 14:33:05.036026,0 days 00:00:00.656838,4.286404182207967,0.9110957024766995,49.337701605402934,53.03466129320845,4.231293030739749,5.427935477973734,4.319535851438866,2.2245154583323828e-07,3.410912775510433e-17,2.418658323079267e-15,4.04519264978035e-07,-14.036093513547144,0.0,,COMPLETE
18,0.08547912996803968,0.07311778857357039,2026-03-13 14:33:05.037023,2026-03-13 14:33:05.728746,0 days 00:00:00.691723,4.310772861822053,0.5865656159879413,47.51962388238949,53.69372909633952,4.210977476751992,5.376401973147582,4.277821570385165,2.2157511705710246e-07,5.455086298408068e-15,1.7490707028484753e-15,3.992236639371785e-08,-14.354725662363663,0.0,,COMPLETE
19,0.018927124890947927,0.43726108169443684,2026-03-13 14:33:05.728746,2026-03-13 14:33:06.537083,0 days 00:00:00.808337,4.3695603919361,0.7791278900074998,49.025462413466435,53.39272265773875,4.406047667711291,5.273999058730706,4.497655840838724,2.242246768174983e-07,1.5240409514391086e-17,6.360223512792324e-17,1.0153827557942527e-07,-14.23558760778473,0.0,,COMPLETE
20,,,2026-03-13 14:33:06.537083,2026-03-13 14:33:06.582931,0 days 00:00:00.045848,4.29476160025327,0.6900538729528108,48.27236992875034,51.101519979220186,4.30198148522409,5.2531543458186585,4.2306984315327245,2.2051791820377676e-07,3.256638970067399e-18,9.969151726156387e-17,6.505091087444527e-08,-13.916090129720406,0.0,,PRUNED
21,,,2026-03-13 14:33:06.583928,2026-03-13 14:33:06.631005,0 days 00:00:00.047077,4.452560866947228,0.7648963923621153,46.95299413963275,55.03684882254673,4.395427038778783,5.478535741778586,4.481878541260664,2.213756091134196e-07,6.392459960368594e-17,2.0603946327209184e-15,1.7704444068649576e-07,-15.103341794513092,0.0,,PRUNED
22,0.03251785485095877,0.17975482029613138,2026-03-13 14:33:06.631005,2026-03-13 14:33:07.316750,0 days 00:00:00.685745,4.3574424464375605,0.5844419508836504,48.01487656608969,50.722266522739126,4.371757359375578,5.366837081433534,4.470601861161698,2.2779805214352647e-07,4.8687988898513405e-16,9.24158721236158e-17,9.125279362331164e-07,-14.971625604508208,0.0,,COMPLETE
