Voltage,SE04n3-5_Fwd_Exp,SE04n3-5_Rev_Exp,SE04n3-5_Fwd_Fit,SE04n3-5_Rev_Fit,SE04n3-5_Fwd_Slope_Exp,SE04n3-5_Rev_Slope_Exp,SE04n3-5_Fwd_Slope_Fit,SE04n3-5_Rev_Slope_Fit
0.05067723481057014,0.5001975601955522,0.48475728135363294,0.441772,0.42930704,1.181229157202373,1.1260007546820348,1.3359725,0.9491909
0.053218746614619034,0.5299620055089871,0.512216787234808,0.47161752,0.44971767,1.176161181326627,1.1226331938760703,1.1783843,1.0541216
0.055887717666874046,0.561219166227827,0.5410534136039344,0.49577385,0.4759615,1.1663474658467532,1.1160961363817625,1.0351211,1.1186906
0.05869054017056137,0.5940439034575979,0.571336224370849,0.5218986,0.50175095,1.1571535988662944,1.1099417047198141,1.1020269,1.0915613
0.061633926904013835,0.6285148326598807,0.6031377470665333,0.55223453,0.52962315,1.1485326565867338,1.1041440047410047,1.2491496,1.0703762
0.06472492729781917,0.6647145119368592,0.6365341465470291,0.5897655,0.5571638,1.1404420965957747,1.098679252848088,1.2993143,1.123561
0.06797094431825264,0.7027296397585168,0.671605407408768,0.6271175,0.59118336,1.1328432596455649,1.0935255675369286,1.117968,1.1080283
0.07137975219742994,0.7426512626060442,0.7084355255522068,0.657956,0.62098044,1.1257009381649121,1.088662785296329,1.1349235,1.133599
0.07495951505264427,0.7845749930287585,0.7471127093525615,0.70078874,0.66054755,1.1189830012912623,1.084072297599287,1.2169125,1.1937413
0.07871880643948095,0.8286012386367898,0.7877295909194459,0.74117345,0.6979368,1.1126600679568215,1.0797369062101354,1.1669049,1.168268
0.08266662988553945,0.8748354425779663,0.830383447951384,0.7855695,0.7405588,1.1067052209818882,1.075640694441722,1.2825161,1.2156675
0.08681244045394122,0.9233883360748485,0.8751764367165371,0.84029394,0.7861151,1.1010937562855276,1.0717689123400373,1.3241812,1.2053379
0.09116616738826805,0.9743762036267343,0.9222158367176391,0.89426637,0.83327925,1.0958029622710432,1.068107874061676,1.1288818,0.9517266
0.09573823789316571,1.0279211615118,0.9716143076271093,0.9384532,0.862855,1.1067571013514375,1.076606062427096,1.1571218,1.0251235
0.10053960210756775,1.0858446110515052,1.0246889751273145,1.0014945,0.92121685,1.241456993912788,1.1782421213755503,1.3472751,1.2824937
0.10558175933035029,1.1607161582898975,1.0903684428514993,1.0707214,0.9782464,1.351035568066056,1.2615308194854613,1.3479779,1.2584453
0.11087678556122833,1.239342585245091,1.1593417987116217,1.1427265,1.0419579,1.3287524165308646,1.2459652917468307,1.3674674,1.3360713
0.11643736242285462,1.3219122027268346,1.2317742343486617,1.2240484,1.1149,1.3082070048659111,1.2314964275627056,1.4208679,1.38411
0.12227680753338936,1.4086227655121273,1.3078392259224194,1.3132098,1.1931076,1.2892255269436443,1.2180278399798774,1.4598067,1.3180032
0.12840910640228315,1.4996819459692066,1.3877189495880564,1.4120349,1.2683982,1.2716561968194364,1.2054737871328847,1.495918,1.3387012
0.13484894592566424,1.59530783143424,1.4716047178091876,1.5202528,1.3601258,1.2553658635983966,1.193757741170287,1.4203396,1.4434546
0.14161174956155131,1.695729446531927,1.559697437552489,1.6226124,1.4608561,1.2402372329601201,1.1828111824963594,1.4437078,1.4789248
0.14871371426913693,1.8011873016909838,1.6522080914612052,1.7509687,1.5719491,1.3553978919484075,1.2721258259658086,1.4728049,1.4073203
0.1561718493006113,1.9362688920570872,1.766485649576354,1.874192,1.6765767,1.4875119483082697,1.375249581383204,1.4940102,1.4540358
0.1640040169384332,2.0834509863070365,1.8902429052467236,2.0266511,1.8123416,1.4798136950575724,1.37131631804042,1.6668583,1.491068
